'de novo' IMP biosynthesis	IMP biosynthesis
ribonucleoside diphosphate catabolism	ribonucleoside diphosphate metabolism
ribonucleoside diphosphate catabolism	ribonucleotide catabolism
ribonucleoside diphosphate metabolism	nucleoside diphosphate metabolism
ribonucleoside diphosphate metabolism	ribonucleotide metabolism
ribonucleoside metabolism	nucleoside metabolism
ribonucleoside monophosphate biosynthesis	nucleoside monophosphate biosynthesis
ribonucleoside monophosphate biosynthesis	ribonucleoside monophosphate metabolism
ribonucleoside monophosphate biosynthesis	ribonucleotide biosynthesis
ribonucleoside monophosphate catabolism	nucleoside monophosphate catabolism
ribonucleoside monophosphate catabolism	ribonucleoside monophosphate metabolism
ribonucleoside monophosphate catabolism	ribonucleotide catabolism
ribonucleoside monophosphate metabolism	nucleoside monophosphate metabolism
ribonucleoside monophosphate metabolism	ribonucleotide metabolism
ribonucleoside triphosphate biosynthesis	nucleoside triphosphate biosynthesis
ribonucleoside triphosphate biosynthesis	ribonucleoside triphosphate metabolism
ribonucleoside triphosphate biosynthesis	ribonucleotide biosynthesis
ribonucleoside triphosphate catabolism	nucleoside triphosphate catabolism
ribonucleoside triphosphate catabolism	ribonucleoside triphosphate metabolism
ribonucleoside triphosphate catabolism	ribonucleotide catabolism
ribonucleoside triphosphate metabolism	nucleoside triphosphate metabolism
ribonucleoside triphosphate metabolism	ribonucleotide metabolism
ribonucleotide biosynthesis	nucleotide biosynthesis
ribonucleotide biosynthesis	ribonucleotide metabolism
ribonucleotide catabolism	nucleotide catabolism
ribonucleotide catabolism	ribonucleotide metabolism
ribonucleotide metabolism	nucleotide metabolism
ribose biosynthesis	pentose biosynthesis
ribose biosynthesis	ribose metabolism
ribose catabolism	pentose catabolism
ribose catabolism	ribose metabolism
ribose metabolism	pentose metabolism
ribose phosphate biosynthesis	ribose biosynthesis
ribose phosphate biosynthesis	ribose phosphate metabolism
ribose phosphate metabolism	ribose metabolism
ribose transport	pentose transport
ribosomal large subunit assembly and maintenance	ribosomal subunit assembly
ribosomal large subunit biogenesis	ribosome biogenesis
ribosomal large subunit nucleus export	ribosome nucleus export
ribosomal protein-nucleus import	protein-nucleus import
ribosomal small subunit assembly and maintenance	ribosomal subunit assembly
ribosomal small subunit biogenesis	ribosome biogenesis
ribosomal small subunit nucleus export	ribosome nucleus export
ribosomal subunit assembly	ribosome assembly
ribosome assembly	ribosome biogenesis and assembly
ribosome biogenesis	ribosome biogenesis and assembly
ribosome biogenesis and assembly	cytoplasm organization and biogenesis
ribosome nucleus export	protein-nucleus export
ribosome nucleus export	ribosome biogenesis
ring canal formation	cell organization and biogenesis
ring canal formation\, actin assembly	actin filament organization
ring canal formation\, actin assembly	ovarian ring canal formation
ripening	development
ripening\, climacteric	ripening
ripening\, non-climacteric	ripening
root epidermal cell differentiation	epidermal cell differentiation
root epidermal cell differentiation	root morphogenesis
root meristem specification	longitudinal axis specification
root meristem specification	root morphogenesis
root morphogenesis	morphogenesis
rosetting	heterophilic cell adhesion
rough ER to cis-Golgi targeting	Golgi vesicle targeting
rough ER to cis-Golgi transport	Golgi vesicle transport
s-triazine compound catabolism	s-triazine compound metabolism
s-triazine compound catabolism	xenobiotic catabolism
s-triazine compound metabolism	aromatic compound metabolism
s-triazine compound metabolism	heterocycle metabolism
s-triazine compound metabolism	xenobiotic metabolism
salicylic acid biosynthesis	aromatic compound biosynthesis
salicylic acid biosynthesis	salicylic acid metabolism
salicylic acid catabolism	aromatic compound catabolism
salicylic acid catabolism	salicylic acid metabolism
salicylic acid mediated signaling pathway	intracellular signaling cascade
salicylic acid mediated signaling pathway	response to salicylic acid stimulus
salicylic acid mediated signaling pathway (systemic acquired resistance)	salicylic acid mediated signaling pathway
salicylic acid mediated signaling pathway (systemic acquired resistance)	systemic acquired resistance
salicylic acid metabolism	aromatic compound metabolism
salicylic acid metabolism	carboxylic acid metabolism
salinity response	response to osmotic stress
saliva secretion	digestion
saliva secretion	secretion
salivary gland determination	salivary gland development
salivary gland development	organogenesis
salivary gland morphogenesis	salivary gland development
salty taste perception	taste
saponin biosynthesis	glycoside biosynthesis
saponin biosynthesis	phytosteroid biosynthesis
saponin biosynthesis	saponin metabolism
saponin biosynthesis	terpenoid biosynthesis
saponin catabolism	glycoside catabolism
saponin catabolism	phytosteroid catabolism
saponin catabolism	saponin metabolism
saponin catabolism	terpenoid catabolism
saponin metabolism	glycoside metabolism
saponin metabolism	phytosteroid metabolism
saponin metabolism	terpenoid metabolism
sarcomere alignment	muscle contraction
sarcomere organization	myofibril assembly
scattered antral spaces stage oogenesis	oogenesis (sensu Mammalia)
schizogony	cell cycle
second mitotic wave (sensu Drosophila)	cell cycle
second mitotic wave (sensu Drosophila)	compound eye morphogenesis (sensu Drosophila)
second mitotic wave (sensu Drosophila)	larval/pupal development (sensu Insecta)
second mitotic wave (sensu Drosophila)	post-embryonic eye morphogenesis (sensu Drosophila)
second-messenger-mediated signaling	intracellular signaling cascade
secondary cell wall biosynthesis (sensu Magnoliophyta)	cell wall biosynthesis (sensu Magnoliophyta)
secondary metabolism	metabolism
secondary tracheal branching (sensu Insecta)	tracheal system development (sensu Insecta)
secretion	physiological processes
secretory pathway	transport
seed germination	germination
segment polarity determination	periodic partitioning
segment specification	embryonic pattern specification
selection of site for barrier septum formation	barrier septum formation
selenocysteine biosynthesis	selenocysteine metabolism
selenocysteine biosynthesis	serine family amino acid biosynthesis
selenocysteine biosynthesis	sulfur amino acid biosynthesis
selenocysteine catabolism	selenocysteine metabolism
selenocysteine catabolism	serine family amino acid catabolism
selenocysteine catabolism	sulfur amino acid catabolism
selenocysteine incorporation	translational readthrough
selenocysteine metabolism	serine family amino acid metabolism
selenocysteine metabolism	sulfur amino acid metabolism
sensitization	nonassociative learning
sensory organ determination	sensory organ development
sensory organ development	peripheral nervous system development
sensory organ precursor cell division	asymmetric cytokinesis
sensory organ precursor cell division	sensory organ development
sensory organ precursor cell fate determination	cell fate determination
sensory organ precursor cell fate determination	sensory organ determination
sensory perception	perception of external stimulus
septate junction assembly	intercellular junction assembly
septin checkpoint	cell cycle checkpoint
septin ring assembly	cytokinesis
serine biosynthesis	serine family amino acid biosynthesis
serine biosynthesis	serine metabolism
serine catabolism	serine family amino acid catabolism
serine catabolism	serine metabolism
serine family amino acid biosynthesis	amino acid biosynthesis
serine family amino acid biosynthesis	serine family amino acid metabolism
serine family amino acid catabolism	amino acid catabolism
serine family amino acid catabolism	serine family amino acid metabolism
serine family amino acid metabolism	amino acid metabolism
serine metabolism	serine family amino acid metabolism
serine phosphorylation of STAT protein	JAK-STAT cascade
serine phosphorylation of STAT protein	peptidyl-serine phosphorylation
serine transport	L-amino acid transport
serine transport	neutral amino acid transport
serine-isocitrate lyase pathway	one-carbon compound metabolism
serotonin biosynthesis	hormone biosynthesis
serotonin biosynthesis	indolalkylamine biosynthesis
serotonin biosynthesis	neurotransmitter biosynthesis
serotonin biosynthesis	serotonin metabolism
serotonin biosynthesis from tryptophan	serotonin biosynthesis
serotonin biosynthesis from tryptophan	tryptophan metabolism
serotonin catabolism	hormone catabolism
serotonin catabolism	indolalkylamine catabolism
serotonin catabolism	neurotransmitter catabolism
serotonin catabolism	serotonin metabolism
serotonin metabolism	hormone metabolism
serotonin metabolism	indolalkylamine metabolism
serotonin metabolism	neurotransmitter metabolism
serotonin receptor signaling pathway	G-protein coupled receptor protein signaling pathway
serotonin receptor\, adenylate cyclase activating pathway	G-protein signaling\, adenylate cyclase activating pathway
serotonin receptor\, adenylate cyclase inhibiting pathway	G-protein signaling\, adenylate cyclase inhibiting pathway
serotonin receptor\, phospholipase C activating pathway	G-protein signaling\, coupled to IP3 second messenger (phospholipase C activating)
serotonin transport	neurotransmitter transport
seryl-tRNA aminoacylation	amino acid activation
sesquiterpenoid biosynthesis	sesquiterpenoid metabolism
sesquiterpenoid biosynthesis	terpenoid biosynthesis
sesquiterpenoid catabolism	sesquiterpenoid metabolism
sesquiterpenoid catabolism	terpenoid catabolism
sesquiterpenoid metabolism	terpenoid metabolism
sevenless signaling pathway	R7 cell fate commitment
sevenless signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
sex comb development	sensory organ development
sex determination	development
sex determination\, establishment of X\:A ratio	primary sex determination\, soma
sex determination\, female germ-line determination	primary sex determination\, germ-line
sex determination\, primary response to X\:A ratio	primary sex determination\, soma
sex determination\, somatic/gonadal interaction	primary sex determination\, germ-line
sex differentiation	development
sex-specific pigmentation	pigmentation
sex-specific pigmentation	sex differentiation
sexual reproduction	reproduction
shade avoidance	response to red/far-red light
shape changes of embryonic cells	regulation of cell shape
shikimate catabolism	carboxylic acid catabolism
shikimate catabolism	shikimate metabolism
shikimate metabolism	carboxylic acid metabolism
shikimate transport	monocarboxylic acid transport
shoot morphogenesis	morphogenesis
short patch mismatch repair system	mismatch repair
short-chain fatty acid catabolism	fatty acid catabolism
short-chain fatty acid catabolism	short-chain fatty acid metabolism
short-chain fatty acid import	short-chain fatty acid transport
short-chain fatty acid metabolism	fatty acid metabolism
short-chain fatty acid transport	fatty acid transport
short-term memory	memory
sialic acid transport	monocarboxylic acid transport
siderochrome biosynthesis	coenzymes and prosthetic group biosynthesis
siderochrome biosynthesis	siderochrome metabolism
siderochrome biosynthesis from catechol	aromatic amino acid family biosynthesis\, shikimate pathway
siderochrome biosynthesis from catechol	catechol metabolism
siderochrome biosynthesis from catechol	siderochrome biosynthesis
siderochrome biosynthesis from hydroxamic acid	siderochrome biosynthesis
siderochrome catabolism	coenzymes and prosthetic group catabolism
siderochrome catabolism	siderochrome metabolism
siderochrome metabolism	coenzymes and prosthetic group metabolism
siderochrome transport	transport
signal complex formation	transmembrane receptor protein tyrosine kinase signaling pathway
signal peptide processing	protein processing
signal transduction	cell communication
signal transduction downstream of smoothened	smoothened signaling pathway
signal transduction during conjugation with cellular fusion	G-protein coupled receptor protein signaling pathway
signal transduction during conjugation with cellular fusion	response to pheromone during conjugation with cellular fusion
signal transduction during conjugation without cellular fusion	G-protein coupled receptor protein signaling pathway
signal transduction during conjugation without cellular fusion	response to pheromone during conjugation without cellular fusion
silicate transport	inorganic anion transport
silver ion transport	monovalent inorganic cation transport
silver ion transport	transition metal ion transport
single strand break repair	DNA repair
siroheme biosynthesis	heme biosynthesis
siroheme biosynthesis	siroheme metabolism
siroheme catabolism	heme catabolism
siroheme catabolism	siroheme metabolism
siroheme metabolism	heme metabolism
sister chromatid cohesion	chromosome condensation
skeletal development	organogenesis
skotomorphogenesis	post-embryonic morphogenesis
skotomorphogenesis	response to absence of light
sleep	physiological processes
slime layer organization and biogenesis	external encapsulating structure organization and biogenesis
slime layer polysaccharide biosynthesis	extracellular polysaccharide biosynthesis
slime layer polysaccharide biosynthesis	slime layer organization and biogenesis
small GTPase mediated signal transduction	intracellular signaling cascade
smooth muscle contraction	muscle contraction
smoothened signaling pathway	cell surface receptor linked signal transduction
snRNA capping	RNA capping
snRNA capping	snRNA processing
snRNA catabolism	RNA catabolism
snRNA catabolism	snRNA metabolism
snRNA metabolism	RNA metabolism
snRNA modification	RNA modification
snRNA modification	snRNA metabolism
snRNA processing	RNA processing
snRNA transcription	transcription\, DNA-dependent
snRNA transcription from Pol II promoter	snRNA transcription
snRNA transcription from Pol II promoter	transcription from Pol II promoter
snRNA transcription from Pol III promoter	snRNA transcription
snRNA transcription from Pol III promoter	transcription from Pol III promoter
snRNA-nucleus export	RNA-nucleus export
snRNP protein-nucleus import	protein-nucleus import
snRNP recycling	mRNA splicing
snoRNA catabolism	RNA catabolism
snoRNA catabolism	snoRNA metabolism
snoRNA metabolism	RNA metabolism
snoRNA transcription	transcription\, DNA-dependent
sodium ion homeostasis	metal ion homeostasis
sodium ion homeostasis	monovalent inorganic cation homeostasis
sodium ion transport	metal ion transport
sodium ion transport	monovalent inorganic cation transport
sodium\:calcium exchange	solute\:solute exchange
soluble molecule recognition	chemotaxis
solute\:solute exchange	transport
somatic cell DNA recombination	DNA recombination
somatic hypermutation of antibody genes	generation of antibody gene diversity
somatic muscle development	muscle development
somatic processes downstream of sex determination signal	processes downstream of sex determination signal
somatic recombination of antibody genes	generation of antibody gene diversity
somatic sex determination	sex determination
somatic stem cell renewal	stem cell renewal
somite specification	segment specification
somite specification	somitogenesis
somitogenesis	anterior/posterior pattern formation
somitogenesis	embryonic development (sensu Mammalia)
sophorosyloxydocosanoate biosynthesis	aromatic compound biosynthesis
sophorosyloxydocosanoate biosynthesis	sophorosyloxydocosanoate metabolism
sophorosyloxydocosanoate catabolism	aromatic compound catabolism
sophorosyloxydocosanoate catabolism	sophorosyloxydocosanoate metabolism
sophorosyloxydocosanoate metabolism	aromatic compound metabolism
sorbitol biosynthesis	hexitol biosynthesis
sorbitol biosynthesis	sorbitol metabolism
sorbitol catabolism	hexitol catabolism
sorbitol catabolism	sorbitol metabolism
sorbitol metabolism	hexitol metabolism
sorbose metabolism	hexose metabolism
sour taste perception	taste
specification of carpel identity	specification of floral organ identity
specification of floral organ identity	specification of organ identity
specification of organ axis polarity	organogenesis
specification of organ identity	organogenesis
specification of petal identity	specification of floral organ identity
specification of segmental identity\, abdomen	segment specification
specification of segmental identity\, antennal segment	segment specification
specification of segmental identity\, head	segment specification
specification of segmental identity\, labial segment	segment specification
specification of segmental identity\, mandibular segment	segment specification
specification of segmental identity\, maxillary segment	segment specification
specification of segmental identity\, thorax	segment specification
specification of sepal identity	specification of floral organ identity
specification of stamen identity	specification of floral organ identity
spectrosome organization and biogenesis	organelle organization and biogenesis
sperm competition	insemination
sperm displacement	sperm competition
sperm ejaculation	copulation
sperm ejaculation	insemination
sperm incapacitation	sperm competition
sperm individualization	spermatid development
sperm mitochondrion organization and biogenesis	mitochondrion organization and biogenesis
sperm motility	cell motility
sperm storage	insemination
spermatid development	cell differentiation
spermatid development	spermatogenesis
spermatid nuclear differentiation	spermatid development
spermatid nuclear elongation	spermatid development
spermatocyte cell division	male germ-line cyst formation
spermatogenesis	gametogenesis
spermatogonial cell division	spermatogenesis
spermidine biosynthesis	polyamine biosynthesis
spermidine biosynthesis	spermidine metabolism
spermidine catabolism	polyamine catabolism
spermidine catabolism	spermidine metabolism
spermidine metabolism	polyamine metabolism
spermidine transport	polyamine transport
spermine biosynthesis	polyamine biosynthesis
spermine biosynthesis	spermine metabolism
spermine catabolism	polyamine catabolism
spermine catabolism	spermine metabolism
spermine metabolism	polyamine metabolism
spermine transport	polyamine transport
sphinganine biosynthesis	sphinganine metabolism
sphinganine biosynthesis	sphingoid biosynthesis
sphinganine metabolism	sphingoid metabolism
sphinganine-1-phosphate biosynthesis	sphinganine biosynthesis
sphinganine-1-phosphate biosynthesis	sphinganine-1-phosphate metabolism
sphinganine-1-phosphate metabolism	sphinganine metabolism
sphingoid biosynthesis	sphingoid metabolism
sphingoid biosynthesis	sphingolipid biosynthesis
sphingoid catabolism	sphingoid metabolism
sphingoid catabolism	sphingolipid catabolism
sphingoid metabolism	sphingolipid metabolism
sphingolipid biosynthesis	membrane lipid biosynthesis
sphingolipid biosynthesis	sphingolipid metabolism
sphingolipid catabolism	membrane lipid catabolism
sphingolipid catabolism	sphingolipid metabolism
sphingolipid metabolism	membrane lipid metabolism
sphingomyelin biosynthesis	phospholipid biosynthesis
sphingomyelin biosynthesis	sphingolipid biosynthesis
sphingomyelin biosynthesis	sphingomyelin metabolism
sphingomyelin catabolism	phospholipid catabolism
sphingomyelin catabolism	sphingolipid catabolism
sphingomyelin catabolism	sphingomyelin metabolism
sphingomyelin metabolism	phospholipid metabolism
sphingomyelin metabolism	sphingolipid metabolism
sphingosine biosynthesis	sphingoid biosynthesis
sphingosine biosynthesis	sphingosine metabolism
sphingosine metabolism	alcohol metabolism
sphingosine metabolism	amine metabolism
sphingosine metabolism	sphingoid metabolism
spindle assembly	M-phase specific microtubule process
spindle pole body and microtubule cycle (sensu Fungi)	DNA replication and chromosome cycle
spindle pole body and microtubule cycle (sensu Fungi)	M-phase specific microtubule process
spindle pole body and microtubule cycle (sensu Saccharomyces)	spindle pole body and microtubule cycle (sensu Fungi)
spindle pole body duplication (sensu Fungi)	spindle pole body and microtubule cycle (sensu Fungi)
spindle pole body duplication (sensu Saccharomyces)	spindle pole body and microtubule cycle (sensu Saccharomyces)
spindle pole body duplication (sensu Saccharomyces)	spindle pole body duplication (sensu Fungi)
spindle pole body separation (sensu Fungi)	spindle pole body and microtubule cycle (sensu Fungi)
spindle pole body separation (sensu Saccharomyces)	spindle pole body and microtubule cycle (sensu Saccharomyces)
spindle pole body separation (sensu Saccharomyces)	spindle pole body separation (sensu Fungi)
spliceosome assembly	mRNA splicing
splicing AT-AC intron	mRNA splicing
splicing GT-AG intron	mRNA splicing
spore germination	germination
spore germination (sensu Fungi)	sporulation (sensu Fungi)
spore wall assembly	sporulation
spore wall assembly (sensu Bacteria)	spore wall assembly
spore wall assembly (sensu Bacteria)	sporulation (sensu Bacteria)
spore wall assembly (sensu Fungi)	spore wall assembly
spore wall assembly (sensu Fungi)	sporulation (sensu Fungi)
spore wall assembly (sensu Saccharomyces)	spore wall assembly (sensu Fungi)
spore wall assembly (sensu Saccharomyces)	sporulation (sensu Saccharomyces)
sporophytic self-incompatibility	incompatible pollen-pistil interaction
sporulation	cell growth and/or maintenance
sporulation (sensu Bacteria)	sporulation
sporulation (sensu Fungi)	sporulation
sporulation (sensu Saccharomyces)	sporulation (sensu Fungi)
spreading of leading edge cells	cell migration
spreading of leading edge cells	dorsal closure
stabilization of membrane potential	regulation of membrane potential
stachydrine biosynthesis	amino acid derivative biosynthesis
stachydrine biosynthesis	stachydrine metabolism
stachydrine catabolism	amino acid derivative catabolism
stachydrine catabolism	stachydrine metabolism
stachydrine metabolism	amino acid derivative metabolism
stalk formation	ovarian follicle cell development (sensu Insecta)
starch biosynthesis	glucan biosynthesis
starch biosynthesis	starch metabolism
starch catabolism	glucan catabolism
starch catabolism	starch metabolism
starch metabolism	glucan metabolism
start control point of mitotic cell cycle	G1 phase of mitotic cell cycle
start control point of mitotic cell cycle	regulation of cell cycle
stem cell maintenance	development
stem cell renewal	cell proliferation
sterigmatocystin biosynthesis	sterigmatocystin metabolism
sterigmatocystin biosynthesis	toxin biosynthesis
sterigmatocystin catabolism	sterigmatocystin metabolism
sterigmatocystin catabolism	toxin catabolism
sterigmatocystin metabolism	aromatic compound metabolism
sterigmatocystin metabolism	heterocycle metabolism
sterigmatocystin metabolism	secondary metabolism
sterigmatocystin metabolism	toxin metabolism
sternite morphogenesis	embryonic morphogenesis
sternite morphogenesis	histoblast metamorphosis
steroid biosynthesis	lipid biosynthesis
steroid biosynthesis	steroid metabolism
steroid catabolism	lipid catabolism
steroid catabolism	steroid metabolism
steroid hormone receptor complex assembly	protein complex assembly\, multichaperone pathway
steroid hormone receptor signaling pathway	intracellular receptor-mediated signaling pathway
steroid metabolism	lipid metabolism
sterol biosynthesis	steroid biosynthesis
sterol biosynthesis	sterol metabolism
sterol catabolism	steroid catabolism
sterol catabolism	sterol metabolism
sterol depletion response\, SREBP target gene transcriptional activation	response to sterol depletion
sterol depletion response\, sterol regulatory element binding-protein cleavage	response to sterol depletion
sterol depletion response\, sterol regulatory element binding-protein nuclear translocation	response to sterol depletion
sterol metabolism	alcohol metabolism
sterol metabolism	steroid metabolism
sterol transport	lipid transport
stilbene biosynthesis	phenylpropanoid biosynthesis
stilbene biosynthesis	stilbene metabolism
stilbene catabolism	phenylpropanoid catabolism
stilbene catabolism	stilbene metabolism
stilbene metabolism	phenylpropanoid metabolism
stomatal complex morphogenesis	shoot morphogenesis
stomatal movement	physiological processes
stomatogastric nervous system development	neurogenesis
storage protein uptake	fat body metabolism (sensu Insecta)
strand displacement	double-strand break repair via synthesis-dependent strand annealing
strand invasion	double-strand break repair via synthesis-dependent strand annealing
strand invasion	gene conversion at MAT locus
streptomycin biosynthesis	aminoglycoside antibiotic biosynthesis
streptomycin biosynthesis	streptomycin metabolism
streptomycin metabolism	aminoglycoside antibiotic metabolism
striated muscle contraction	muscle contraction
stringent response	cellular response to starvation
styrene catabolism	aromatic compound catabolism
styrene catabolism	styrene metabolism
styrene catabolism	xenobiotic catabolism
styrene metabolism	benzene and derivative metabolism
substrate-bound cell migration	cell migration
substrate-bound cell migration\, adhesion receptor recycling	substrate-bound cell migration
substrate-bound cell migration\, cell attachment to substrate	substrate-bound cell migration
substrate-bound cell migration\, cell contraction	substrate-bound cell migration
substrate-bound cell migration\, cell extension	substrate-bound cell migration
substrate-bound cell migration\, cell release\, from substrate	substrate-bound cell migration
succinate metabolism	TCA intermediate metabolism
succinate metabolism	carboxylic acid metabolism
succinate transport	dicarboxylic acid transport
succinate-O2 electron transport	electron transport
succinate-propionate fermentation	glycolytic fermentation
succinate-propionate fermentation	propionate metabolism
succinate-propionate fermentation	succinate metabolism
succinyl-CoA metabolism	TCA intermediate metabolism
succinyl-CoA metabolism	coenzyme metabolism
succinyl-CoA pathway	uroporphyrinogen III biosynthesis
sucrose biosynthesis	disaccharide biosynthesis
sucrose biosynthesis	sucrose metabolism
sucrose catabolism	disaccharide catabolism
sucrose catabolism	sucrose metabolism
sucrose catabolism using invertase or sucrose synthase	sucrose catabolism
sucrose catabolism\, using beta-fructofuranosidase	sucrose catabolism
sucrose catabolism\, using glucoside 3-dehydrogenase	sucrose catabolism
sucrose mediated signaling	carbohydrate mediated signaling
sucrose mediated signaling	response to sucrose stimulus
sucrose metabolism	disaccharide metabolism
sucrose transport	disaccharide transport
sugar utilization	digestion
sulfate assimilation	sulfur utilization
sulfate assimilation via adenylyl sulfate reduction	sulfate assimilation
sulfate assimilation\, phosphoadenylyl sulfate reduction by a phosphoadenylyl-sulfate reductase (thioredoxin)	sulfate assimilation
sulfate assimilation\, phosphoadenylyl sulfate reduction by an oxidoreductase\, acting on sulfur group of donors\, NAD or NADP as acceptor	sulfate assimilation
sulfate ion homeostasis	di-\, tri-valent inorganic anion homeostasis
sulfate reduction	sulfur utilization
sulfate reduction\, APS pathway	sulfate reduction
sulfate transport	inorganic anion transport
sulfathiazole transport	azole transport
sulfide oxidation	sulfur utilization
sulfide oxidation\, using siroheme sulfite reductase	sulfide oxidation
sulfite transport	inorganic anion transport
sulfolipid biosynthesis	lipid biosynthesis
sulfolipid biosynthesis	sulfolipid metabolism
sulfolipid metabolism	lipid metabolism
sulfolipid metabolism	sulfur metabolism
sulfur amino acid biosynthesis	amino acid biosynthesis
sulfur amino acid biosynthesis	sulfur amino acid metabolism
sulfur amino acid catabolism	amino acid catabolism
sulfur amino acid catabolism	sulfur amino acid metabolism
sulfur amino acid metabolism	amino acid metabolism
sulfur amino acid metabolism	sulfur metabolism
sulfur amino acid transport	amino acid transport
sulfur metabolism	metabolism
sulfur oxidation	sulfur utilization
sulfur oxidation\, ferric ion dependent	sulfur oxidation
sulfur oxidation\, using siroheme sulfite reductase	sulfur oxidation
sulfur utilization	sulfur metabolism
superoxide metabolism	oxygen and reactive oxygen species metabolism
superoxide release	superoxide metabolism
suppression of meiotic recombination	meiotic recombination
suppression of neuroblast proliferation	neurogenesis
suppressor T-cell differentiation	T-cell differentiation
susceptibility to natural killer cell mediated cytolysis	regulation of natural killer cell mediated cytolysis
suspensor development	organogenesis
suture of dorsal opening	dorsal closure
sweet taste perception	taste
synapsis	zygotene
synaptic target attraction	synaptic target recognition
synaptic target inhibition	synaptic target recognition
synaptic target recognition	neuronal cell recognition
synaptic transmission	transmission of nerve impulse
synaptic transmission\, cholinergic	nerve-nerve synaptic transmission
synaptic vesicle amine transport	amine/polyamine transport
synaptic vesicle budding	synaptic vesicle endocytosis
synaptic vesicle coating	synaptic vesicle endocytosis
synaptic vesicle docking	synaptic vesicle exocytosis
synaptic vesicle endocytosis	endocytosis
synaptic vesicle endocytosis	neurotransmitter secretion
synaptic vesicle endocytosis	synaptic vesicle transport
synaptic vesicle exocytosis	exocytosis
synaptic vesicle exocytosis	neurotransmitter secretion
synaptic vesicle exocytosis	synaptic vesicle transport
synaptic vesicle fission	synaptic vesicle endocytosis
synaptic vesicle fusion	synaptic vesicle exocytosis
synaptic vesicle internalization	synaptic vesicle endocytosis
synaptic vesicle maturation	synaptic vesicle endocytosis
synaptic vesicle priming	synaptic vesicle exocytosis
synaptic vesicle retrieval	synaptic vesicle endocytosis
synaptic vesicle targeting	synaptic vesicle exocytosis
synaptic vesicle to endosome fusion	endosome transport
synaptic vesicle to endosome fusion	synaptic vesicle endocytosis
synaptic vesicle transport	synaptic transmission
synaptic vesicle transport	vesicle-mediated transport
synaptic vesicle uncoating	synaptic vesicle endocytosis
synaptogenesis	neurogenesis
synaptonemal complex formation	synapsis
syncytium formation	cell growth and/or maintenance
syncytium formation by mitosis without cell division	syncytium formation
syncytium formation by plasma membrane fusion	plasma membrane fusion
syncytium formation by plasma membrane fusion	syncytium formation
synergid cell differentiation	megagametogenesis
systemic acquired resistance	defense response
systemic acquired resistance	response to pathogen (incompatible interaction)
tRNA 3' processing	tRNA processing
tRNA 3'-terminal CCA addition	tRNA 3' processing
tRNA 5'-leader removal	tRNA processing
tRNA catabolism	RNA catabolism
tRNA catabolism	tRNA metabolism
tRNA editing	RNA editing
tRNA editing	tRNA modification
tRNA editing	tRNA processing
tRNA end turnover	tRNA metabolism
tRNA metabolism	RNA metabolism
tRNA methylation	RNA methylation
tRNA methylation	tRNA modification
tRNA modification	RNA modification
tRNA modification	tRNA metabolism
tRNA processing	RNA processing
tRNA processing	tRNA metabolism
tRNA splicing	RNA splicing
tRNA splicing	tRNA processing
tRNA transcription	transcription\, DNA-dependent
tRNA transcription from Pol III promoter	tRNA transcription
tRNA transcription from Pol III promoter	transcription from Pol III promoter
tRNA-Y splicing	tRNA splicing
tRNA-nucleus export	RNA-nucleus export
tachykinin receptor\, phospholipase C activating pathway	G-protein signaling\, coupled to IP3 second messenger (phospholipase C activating)
tachykinin signaling pathway	G-protein coupled receptor protein signaling pathway
tail tip morphogenesis (sensu Nematoda)	embryonic morphogenesis
tartrate transport	dicarboxylic acid transport
taste	chemosensory perception
taste aversion	feeding behavior
taurine biosynthesis	amino acid derivative biosynthesis
taurine biosynthesis	taurine metabolism
taurine catabolism	amino acid derivative catabolism
taurine catabolism	taurine metabolism
taurine metabolism	amino acid derivative metabolism
taurine transport	monocarboxylic acid transport
taxis	response to external stimulus
taxis to electron acceptor	energy taxis
teichoic acid biosynthesis	cell wall biosynthesis (sensu Bacteria)
teichoic acid biosynthesis	organic acid biosynthesis
teichoic acid biosynthesis	ribitol metabolism
teichoic acid biosynthesis	teichoic acid metabolism
teichoic acid metabolism	carboxylic acid metabolism
teichoic acid transport	polysaccharide transport
tellurite transport	inorganic anion transport
telogen	hair cycle
telomerase-dependent telomere maintenance	telomere maintenance
telomerase-independent telomere maintenance	mitotic recombination
telomerase-independent telomere maintenance	telomere maintenance
telomere capping	telomere maintenance
telomere clustering	leptotene
telomere maintenance	chromosome organization and biogenesis (sensu Eukarya)
telomere maintenance	response to DNA damage stimulus
tergite morphogenesis	embryonic morphogenesis
tergite morphogenesis	histoblast metamorphosis
terminal N-glycosylation	N-glycan processing
terminal N-glycosylation	terminal glycosylation
terminal branching of trachea\, cytoplasmic projection extension (sensu Insecta)	tracheal system development (sensu Insecta)
terminal glycosylation	protein amino acid glycosylation
terminal region determination	zygotic determination of anterior/posterior axis\, embryo
terpene biosynthesis	biosynthesis
terpene biosynthesis	terpene metabolism
terpene catabolism	catabolism
terpene catabolism	terpene metabolism
terpene metabolism	metabolism
terpenoid biosynthesis	polyisoprenoid biosynthesis
terpenoid biosynthesis	terpene biosynthesis
terpenoid biosynthesis	terpenoid metabolism
terpenoid catabolism	polyisoprenoid catabolism
terpenoid catabolism	terpene catabolism
terpenoid catabolism	terpenoid metabolism
terpenoid indole alkaloid biosynthesis	alkaloid biosynthesis
