mitochondrion inheritance	GO:0000001
nucleosome mobilization	GO:0042766
DNA damage response\, perception of DNA damage	GO:0042769
DNA damage response\, signal transduction	GO:0042770
DNA damage response\, signal transduction by p53 class mediator resulting in induction of apoptosis	GO:0042771
DNA damage response\, signal transduction resulting in transcription	GO:0042772
ATP synthesis coupled electron transport	GO:0042773
ATP synthesis coupled electron transport (sensu Bacteria)	GO:0042774
ATP synthesis coupled electron transport (sensu Eukarya)	GO:0042775
ATP synthesis coupled proton transport (sensu Eukarya)	GO:0042776
ATP synthesis coupled proton transport (sensu Bacteria)	GO:0042777
tRNA end turnover	GO:0042778
removal of tRNA 3'-trailer sequence	GO:0042779
tRNA 3' processing	GO:0042780
passive immune evasion	GO:0042782
active immune evasion	GO:0042783
active immune evasion via modulation of complement system	GO:0042784
active immune evasion via modulation of host-cytokine network	GO:0042785
active immune evasion via modulation of antigen-processing/presentation pathway	GO:0042786
protein ubiquitination during ubiquitin-dependent protein catabolism	GO:0042787
mRNA transcription from Pol II promoter	GO:0042789
transcription of nuclear rRNA large Pol I transcript	GO:0042790
5S class rRNA transcription	GO:0042791
rRNA transcription from mitochondrial promotor	GO:0042792
transcription from plastid promoter	GO:0042793
rRNA transcription from plastid promotor	GO:0042794
snRNA transcription from Pol II promoter	GO:0042795
snRNA transcription from Pol III promoter	GO:0042796
tRNA transcription from Pol III promoter	GO:0042797
protein neddylation during NEDD8 class-dependent protein catabolism	GO:0042798
pheromone metabolism	GO:0042810
pheromone biosynthesis	GO:0042811
pheromone catabolism	GO:0042812
monopolar cell growth	GO:0042814
bipolar cell growth	GO:0042815
vitamin B6 metabolism	GO:0042816
pyridoxal metabolism	GO:0042817
pyridoxamine metabolism	GO:0042818
vitamin B6 biosynthesis	GO:0042819
vitamin B6 catabolism	GO:0042820
pyridoxal biosynthesis	GO:0042821
pyridoxal phosphate metabolism	GO:0042822
pyridoxal phosphate biosynthesis	GO:0042823
response to pathogen	GO:0042828
defense response to pathogen	GO:0042829
defense response to pathogenic bacteria	GO:0042830
defense response to pathogenic fungi	GO:0042831
defense response to pathogenic protozoa	GO:0042832
response to pathogenic protozoa	GO:0042833
double-strand break repair via single-strand annealing	GO:0045002
double-strand break repair via synthesis-dependent strand annealing	GO:0045003
DNA replication proofreading	GO:0045004
maintenance of fidelity during DNA dependent DNA replication	GO:0045005
DNA deamination	GO:0045006
depurination	GO:0045007
depyrimidination	GO:0045008
actin nucleation	GO:0045010
actin cable assembly	GO:0045011
negative regulation of transcription by carbon catabolites	GO:0045013
negative regulation of transcription by glucose	GO:0045014
mitochondrial magnesium ion transport	GO:0045016
glycerolipid biosynthesis	GO:0045017
retrograde transport from the vacuole	GO:0045018
negative regulation of nitric oxide biosynthesis	GO:0045019
error-prone DNA repair	GO:0045020
error-free DNA repair	GO:0045021
early endosome to late endosome transport	GO:0045022
G0 to G1 transition	GO:0045023
plasma membrane fusion	GO:0045026
peroxisome inheritance	GO:0045033
neuroblast cell division	GO:0045034
sensory organ precursor cell division	GO:0045035
protein-chloroplast targeting	GO:0045036
chloroplast stroma protein import	GO:0045037
chloroplast thylakoid protein import	GO:0045038
mitochondrial inner membrane protein import	GO:0045039
mitochondrial outer membrane protein import	GO:0045040
mitochondrial intermembrane space protein import	GO:0045041
conservative mitochondrial IMS protein import	GO:0045042
non-conservative mitochondrial IMS protein import	GO:0045043
direct mitochondrial IMS protein import	GO:0045044
secretory pathway	GO:0045045
peroxisome membrane protein import	GO:0045046
protein-ER targeting	GO:0045047
protein-ER insertion	GO:0045048
ER insertion by N-terminal cleaved signal sequence	GO:0045049
ER insertion by stop-transfer membrane-anchor sequence	GO:0045050
ER insertion by internal uncleaved signal-anchor sequence	GO:0045051
ER insertion by GPI attachment sequence	GO:0045052
protein-Golgi retention	GO:0045053
constitutive secretory pathway	GO:0045054
regulated secretory pathway	GO:0045055
transcytosis	GO:0045056
cisternal progression	GO:0045057
T-cell selection	GO:0045058
positive thymic T-cell selection	GO:0045059
negative thymic T-cell selection	GO:0045060
thymic T-cell selection	GO:0045061
extrathymic T-cell selection	GO:0045062
T-helper 1 cell differentiation	GO:0045063
T-helper 2 cell differentiation	GO:0045064
cytotoxic T-cell differentiation	GO:0045065
suppressor T-cell differentiation	GO:0045066
positive extrathymic T-cell selection	GO:0045067
negative extrathymic T-cell selection	GO:0045068
regulation of viral genome replication	GO:0045069
positive regulation of viral genome replication	GO:0045070
negative regulation of viral genome replication	GO:0045071
regulation of interferon-gamma biosynthesis	GO:0045072
regulation of chemokine biosynthesis	GO:0045073
regulation of interleukin-10 biosynthesis	GO:0045074
regulation of interleukin-12 biosynthesis	GO:0045075
regulation of interleukin-2 biosynthesis	GO:0045076
negative regulation of interferon-gamma biosynthesis	GO:0045077
positive regulation of interferon-gamma biosynthesis	GO:0045078
negative regulation of chemokine biosynthesis	GO:0045079
positive regulation of chemokine biosynthesis	GO:0045080
negative regulation of interleukin-10 biosynthesis	GO:0045081
positive regulation of interleukin-10 biosynthesis	GO:0045082
negative regulation of interleukin-12 biosynthesis	GO:0045083
positive regulation of interleukin-12 biosynthesis	GO:0045084
negative regulation of interleukin-2 biosynthesis	GO:0045085
positive regulation of interleukin-2 biosynthesis	GO:0045086
innate immune response	GO:0045087
regulation of innate immune response	GO:0045088
positive regulation of innate immune response	GO:0045089
retroviral genome replication	GO:0045090
regulation of retroviral genome replication	GO:0045091
intermediate filament-based process	GO:0045103
intermediate filament cytoskeleton organization and biogenesis	GO:0045104
intermediate filament polymerization and/or depolymerization	GO:0045105
intermediate filament depolymerization	GO:0045106
intermediate filament polymerization	GO:0045107
regulation of intermediate filament polymerization and/or depolymerization	GO:0045108
intermediate filament organization	GO:0045109
intermediate filament bundle assembly	GO:0045110
integrin biosynthesis	GO:0045112
regulation of integrin biosynthesis	GO:0045113
beta 2 integrin biosynthesis	GO:0045114
regulation of beta 2 integrin biosynthesis	GO:0045115
protein neddylation	GO:0045116
azole transport	GO:0045117
aflatoxin biosynthesis	GO:0045122
cellular extravasation	GO:0045123
regulation of bone resorption	GO:0045124
suppression of meiotic recombination	GO:0045128
meiotic chromosome segregation	GO:0045132
development of secondary sexual characteristics	GO:0045136
development of primary sexual characteristics	GO:0045137
tail tip morphogenesis (sensu Nematoda)	GO:0045138
telomere clustering	GO:0045141
meiosis I\, chromosome segregation	GO:0045143
meiosis II\, chromosome segregation	GO:0045144
acetate induction of acetate catabolism	GO:0045146
regulation of acetate induction of acetate catabolism	GO:0045147
acetoin metabolism	GO:0045149
acetoin catabolism	GO:0045150
acetoin biosynthesis	GO:0045151
ion channel clustering	GO:0045161
clustering of voltage gated sodium channels	GO:0045162
clustering of voltage gated potassium channels	GO:0045163
cell fate commitment	GO:0045165
asymmetric protein localization involved in cell fate commitment	GO:0045167
cell-cell signaling involved in cell fate commitment	GO:0045168
O-sialoglycoprotein catabolism	GO:0045173
basal protein localization	GO:0045175
apical protein localization	GO:0045176
establishment of protein localization	GO:0045184
maintenance of protein localization	GO:0045185
zonula adherens assembly	GO:0045186
regulation of sleep	GO:0045187
regulation of non-REM sleep	GO:0045188
connective tissue growth factor biosynthesis	GO:0045189
isotype switching	GO:0045190
regulation of isotype switching	GO:0045191
low-density lipoprotein catabolism	GO:0045192
acetylated low-density lipoprotein catabolism	GO:0045193
oxidized low-density lipoprotein catabolism	GO:0045194
establishment and/or maintenance of neuroblast cell polarity	GO:0045196
establishment and/or maintenance of epithelial cell polarity	GO:0045197
establishment of epithelial cell polarity	GO:0045198
maintenance of epithelial cell polarity	GO:0045199
establishment of neuroblast cell polarity	GO:0045200
maintenance of neuroblast cell polarity	GO:0045201
MAPK nucleus export	GO:0045204
MAPK phosphatase nucleus export	GO:0045208
leptomycin B-sensitive MAPK phosphatase nucleus export	GO:0045209
FasL biosynthesis	GO:0045210
neurotransmitter receptor biosynthesis	GO:0045212
neurotransmitter receptor metabolism	GO:0045213
sarcomere organization	GO:0045214
intercellular junction assembly and/or maintenance	GO:0045216
intercellular junction maintenance	GO:0045217
zonula adherens maintenance	GO:0045218
regulation of FasL biosynthesis	GO:0045219
positive regulation of FasL biosynthesis	GO:0045220
negative regulation of FasL biosynthesis	GO:0045221
CD4 biosynthesis	GO:0045222
regulation of CD4 biosynthesis	GO:0045223
positive regulation of CD4 biosynthesis	GO:0045224
negative regulation of CD4 biosynthesis	GO:0045225
extracellular polysaccharide biosynthesis	GO:0045226
capsule polysaccharide biosynthesis	GO:0045227
slime layer polysaccharide biosynthesis	GO:0045228
external encapsulating structure organization and biogenesis	GO:0045229
capsule organization and biogenesis	GO:0045230
slime layer organization and biogenesis	GO:0045231
S-layer organization and biogenesis	GO:0045232
protein palmitoleylation	GO:0045234
protein amino acid palmitoleylation	GO:0045235
mRNA trans splicing	GO:0045291
mRNA cis splicing	GO:0045292
post-mating behavior	GO:0045297
otolith mineralization	GO:0045299
regulation of establishment of competence for transformation	GO:0045304
filamentous growth in response to pheromones	GO:0045311
nor-spermidine biosynthesis	GO:0045312
rhabdomere membrane biogenesis	GO:0045313
regulation of eye photoreceptor development (sensu Drosophila)	GO:0045314
positive regulation of eye photoreceptor development (sensu Drosophila)	GO:0045315
negative regulation of eye photoreceptor development (sensu Drosophila)	GO:0045316
equator specification	GO:0045317
eye photoreceptor pigment granule morphogenesis	GO:0045318
SRP-independent cotranslational membrane targeting\, translocation	GO:0045319
cell activation	GO:0045321
late endosome to vacuole transport	GO:0045324
peptidyl-tryptophan hydroxylation	GO:0045325
DNA-protein covalent cross-linking via the 3' end to peptidyl-tyrosine	GO:0045326
DNA-protein covalent cross-linking via peptidyl-tyrosine	GO:0045327
cytochrome P450 4A1-heme linkage	GO:0045328
carnitine biosynthesis	GO:0045329
phospholipid translocation	GO:0045332
cellular respiration	GO:0045333
farnesyl diphosphate biosynthesis	GO:0045337
farnesyl diphosphate metabolism	GO:0045338
farnesyl diphosphate catabolism	GO:0045339
MHC class I biosynthesis	GO:0045341
MHC class II biosynthesis	GO:0045342
regulation of MHC class I biosynthesis	GO:0045343
negative regulation of MHC class I biosynthesis	GO:0045344
positive regulation of MHC class I biosynthesis	GO:0045345
regulation of MHC class II biosynthesis	GO:0045346
negative regulation of MHC class II biosynthesis	GO:0045347
positive regulation of MHC class II biosynthesis	GO:0045348
interferon-alpha biosynthesis	GO:0045349
interferon-beta biosynthesis	GO:0045350
interferon type I biosynthesis	GO:0045351
regulation of interferon-alpha biosynthesis	GO:0045354
negative regulation of interferon-alpha biosynthesis	GO:0045355
positive regulation of interferon-alpha biosynthesis	GO:0045356
regulation of interferon-beta biosynthesis	GO:0045357
negative regulation of interferon-beta biosynthesis	GO:0045358
positive regulation of interferon-beta biosynthesis	GO:0045359
regulation of interleukin-1 biosynthesis	GO:0045360
negative regulation of interleukin-1 biosynthesis	GO:0045361
positive regulation of interleukin-1 biosynthesis	GO:0045362
regulation of interleukin-11 biosynthesis	GO:0045363
negative regulation of interleukin-11 biosynthesis	GO:0045364
positive regulation of interleukin-11 biosynthesis	GO:0045365
regulation of interleukin-13 biosynthesis	GO:0045366
negative regulation of interleukin-13 biosynthesis	GO:0045367
positive regulation of interleukin-13 biosynthesis	GO:0045368
regulation of interleukin-14 biosynthesis	GO:0045369
negative regulation of interleukin-14 biosynthesis	GO:0045370
positive regulation of interleukin-14 biosynthesis	GO:0045371
regulation of interleukin-15 biosynthesis	GO:0045372
negative regulation of interleukin-15 biosynthesis	GO:0045373
positive regulation of interleukin-15 biosynthesis	GO:0045374
regulation of interleukin-16 biosynthesis	GO:0045375
negative regulation of interleukin-16 biosynthesis	GO:0045376
positive regulation of interleukin-16 biosynthesis	GO:0045377
regulation of interleukin-17 biosynthesis	GO:0045378
negative regulation of interleukin-17 biosynthesis	GO:0045379
positive regulation of interleukin-17 biosynthesis	GO:0045380
regulation of interleukin-18 biosynthesis	GO:0045381
negative regulation of interleukin-18 biosynthesis	GO:0045382
positive regulation of interleukin-18 biosynthesis	GO:0045383
regulation of interleukin-19 biosynthesis	GO:0045384
negative regulation of interleukin-19 biosynthesis	GO:0045385
positive regulation of interleukin-19 biosynthesis	GO:0045386
regulation of interleukin-20 biosynthesis	GO:0045387
negative regulation of interleukin-20 biosynthesis	GO:0045388
positive regulation of interleukin-20 biosynthesis	GO:0045389
regulation of interleukin-21 biosynthesis	GO:0045390
negative regulation of interleukin-21 biosynthesis	GO:0045391
positive regulation of interleukin-21 biosynthesis	GO:0045392
regulation of interleukin-22 biosynthesis	GO:0045393
negative regulation of interleukin-22 biosynthesis	GO:0045394
positive regulation of interleukin-22 biosynthesis	GO:0045395
regulation of interleukin-23 biosynthesis	GO:0045396
negative regulation of interleukin-23 biosynthesis	GO:0045397
positive regulation of interleukin-23 biosynthesis	GO:0045398
regulation of interleukin-3 biosynthesis	GO:0045399
negative regulation of interleukin-3 biosynthesis	GO:0045400
positive regulation of interleukin-3 biosynthesis	GO:0045401
regulation of interleukin-4 biosynthesis	GO:0045402
negative regulation of interleukin-4 biosynthesis	GO:0045403
positive regulation of interleukin-4 biosynthesis	GO:0045404
regulation of interleukin-5 biosynthesis	GO:0045405
negative regulation of interleukin-5 biosynthesis	GO:0045406
positive regulation of interleukin-5 biosynthesis	GO:0045407
regulation of interleukin-6 biosynthesis	GO:0045408
negative regulation of interleukin-6 biosynthesis	GO:0045409
positive regulation of interleukin-6 biosynthesis	GO:0045410
regulation of interleukin-7 biosynthesis	GO:0045411
negative regulation of interleukin-7 biosynthesis	GO:0045412
positive regulation of interleukin-7 biosynthesis	GO:0045413
regulation of interleukin-8 biosynthesis	GO:0045414
negative regulation of interleukin-8 biosynthesis	GO:0045415
positive regulation of interleukin-8 biosynthesis	GO:0045416
regulation of interleukin-9 biosynthesis	GO:0045417
negative regulation of interleukin-9 biosynthesis	GO:0045418
positive regulation of interleukin-9 biosynthesis	GO:0045419
regulation of connective tissue growth factor biosynthesis	GO:0045420
negative regulation of connective tissue growth factor biosynthesis	GO:0045421
positive regulation of connective tissue growth factor biosynthesis	GO:0045422
regulation of granulocyte macrophage colony-stimulating factor biosynthesis	GO:0045423
negative regulation of granulocyte macrophage colony-stimulating factor biosynthesis	GO:0045424
positive regulation of granulocyte macrophage colony-stimulating factor biosynthesis	GO:0045425
quinone cofactor biosynthesis	GO:0045426
enzyme active site formation via (phospho-5'-guanosine)-L-histidine	GO:0045427
regulation of nitric oxide biosynthesis	GO:0045428
positive regulation of nitric oxide biosynthesis	GO:0045429
male courtship behavior (sensu Insecta)\, song production	GO:0045433
negative regulation of female receptivity\, post-mating	GO:0045434
juvenile hormone secretion	GO:0045443
adipocyte differentiation	GO:0045444
myoblast differentiation	GO:0045445
endothelial cell differentiation	GO:0045446
mitotic cell cycle\, embryonic	GO:0045448
regulation of transcription	GO:0045449
bicoid mRNA localization	GO:0045450
pole plasm oskar mRNA localization	GO:0045451
bone resorption	GO:0045453
cell redox homeostasis	GO:0045454
ecdysteroid metabolism	GO:0045455
ecdysteroid biosynthesis	GO:0045456
ecdysteroid secretion	GO:0045457
iron incorporation into iron-sulfur cluster via tetrakis-L-cysteinyl triiron tetrasulfide	GO:0045459
sterigmatocystin metabolism	GO:0045460
sterigmatocystin biosynthesis	GO:0045461
R8 development	GO:0045463
R8 cell fate specification	GO:0045464
R8 differentiation	GO:0045465
R7 differentiation	GO:0045466
R7 development	GO:0045467
regulation of R8 spacing	GO:0045468
negative regulation of R8 spacing	GO:0045469
R8-mediated photoreceptor organization	GO:0045470
response to ethanol	GO:0045471
response to ether	GO:0045472
locomotor rhythm	GO:0045475
nurse cell apoptosis	GO:0045476
regulation of nurse cell apoptosis	GO:0045477
fusome organization and biogenesis	GO:0045478
vesicle-fusome targeting	GO:0045479
gibberellic acid catabolism	GO:0045487
pectin metabolism	GO:0045488
pectin biosynthesis	GO:0045489
pectin catabolism	GO:0045490
xylan metabolism	GO:0045491
xylan biosynthesis	GO:0045492
xylan catabolism	GO:0045493
photoreceptor maintenance	GO:0045494
male analia morphogenesis (sensu Holometabola)	GO:0045496
female analia morphogenesis (sensu Holometabola)	GO:0045497
sex comb development	GO:0045498
sevenless signaling pathway	GO:0045500
regulation of sevenless signaling pathway	GO:0045501
interleukin-24 biosynthesis	GO:0045524
interleukin-25 biosynthesis	GO:0045525
interleukin-26 biosynthesis	GO:0045526
interleukin-27 biosynthesis	GO:0045527
regulation of interleukin-24 biosynthesis	GO:0045528
regulation of interleukin-25 biosynthesis	GO:0045529
regulation of interleukin-26 biosynthesis	GO:0045530
regulation of interleukin-27 biosynthesis	GO:0045531
negative regulation of interleukin-24 biosynthesis	GO:0045532
negative regulation of interleukin-25 biosynthesis	GO:0045533
negative regulation of interleukin-26 biosynthesis	GO:0045534
negative regulation of interleukin-27 biosynthesis	GO:0045535
positive regulation of interleukin-24 biosynthesis	GO:0045536
positive regulation of interleukin-25 biosynthesis	GO:0045537
positive regulation of interleukin-26 biosynthesis	GO:0045538
positive regulation of interleukin-27 biosynthesis	GO:0045539
regulation of cholesterol biosynthesis	GO:0045540
negative regulation of cholesterol biosynthesis	GO:0045541
positive regulation of cholesterol biosynthesis	GO:0045542
TRAIL biosynthesis	GO:0045553
regulation of TRAIL biosynthesis	GO:0045554
negative regulation of TRAIL biosynthesis	GO:0045555
positive regulation of TRAIL biosynthesis	GO:0045556
TRAIL receptor biosynthesis	GO:0045557
TRAIL receptor 1 biosynthesis	GO:0045558
TRAIL receptor 2 biosynthesis	GO:0045559
regulation of TRAIL receptor biosynthesis	GO:0045560
regulation of TRAIL receptor 1 biosynthesis	GO:0045561
regulation of TRAIL receptor 2 biosynthesis	GO:0045562
negative regulation of TRAIL receptor biosynthesis	GO:0045563
positive regulation of TRAIL receptor biosynthesis	GO:0045564
negative regulation of TRAIL receptor 1 biosynthesis	GO:0045565
positive regulation of TRAIL receptor 1 biosynthesis	GO:0045566
negative regulation of TRAIL receptor 2 biosynthesis	GO:0045567
positive regulation of TRAIL receptor 2 biosynthesis	GO:0045568
regulation of imaginal disc growth	GO:0045570
negative regulation of imaginal disc growth	GO:0045571
positive regulation of imaginal disc growth	GO:0045572
sterigmatocystin catabolism	GO:0045574
basophil activation	GO:0045575
mast cell activation	GO:0045576
regulation of B-cell differentiation	GO:0045577
negative regulation of B-cell differentiation	GO:0045578
positive regulation of B-cell differentiation	GO:0045579
regulation of T-cell differentiation	GO:0045580
negative regulation of T-cell differentiation	GO:0045581
positive regulation of T-cell differentiation	GO:0045582
regulation of cytotoxic T-cell differentiation	GO:0045583
negative regulation of cytotoxic T-cell differentiation	GO:0045584
positive regulation of cytotoxic T-cell differentiation	GO:0045585
regulation of gamma-delta T-cell differentiation	GO:0045586
negative regulation of gamma-delta T-cell differentiation	GO:0045587
positive regulation of gamma-delta T-cell differentiation	GO:0045588
regulation of suppressor T-cell differentiation	GO:0045589
negative regulation of suppressor T-cell differentiation	GO:0045590
positive regulation of suppressor T-cell differentiation	GO:0045591
regulation of ovarian cumulus cell differentiation	GO:0045592
negative regulation of ovarian cumulus cell differentiation	GO:0045593
positive regulation of ovarian cumulus cell differentiation	GO:0045594
regulation of cell differentiation	GO:0045595
negative regulation of cell differentiation	GO:0045596
positive regulation of cell differentiation	GO:0045597
regulation of adipocyte differentiation	GO:0045598
negative regulation of adipocyte differentiation	GO:0045599
positive regulation of adipocyte differentiation	GO:0045600
regulation of endothelial cell differentiation	GO:0045601
negative regulation of endothelial cell differentiation	GO:0045602
positive regulation of endothelial cell differentiation	GO:0045603
regulation of epidermal cell differentiation	GO:0045604
negative regulation of epidermal cell differentiation	GO:0045605
positive regulation of epidermal cell differentiation	GO:0045606
regulation of hair cell differentiation	GO:0045607
negative regulation of hair cell differentiation	GO:0045608
positive regulation of hair cell differentiation	GO:0045609
regulation of hemocyte differentiation	GO:0045610
negative regulation of hemocyte differentiation	GO:0045611
positive regulation of hemocyte differentiation	GO:0045612
regulation of plasmatocyte differentiation	GO:0045613
negative regulation of plasmatocyte differentiation	GO:0045614
positive regulation of plasmatocyte differentiation	GO:0045615
regulation of keratinocyte differentiation	GO:0045616
negative regulation of keratinocyte differentiation	GO:0045617
positive regulation of keratinocyte differentiation	GO:0045618
regulation of lymphocytic blood cell differentiation	GO:0045619
negative regulation of lymphocytic blood cell differentiation	GO:0045620
positive regulation of lymphocytic blood cell differentiation	GO:0045621
regulation of T-helper cell differentiation	GO:0045622
negative regulation of T-helper cell differentiation	GO:0045623
positive regulation of T-helper cell differentiation	GO:0045624
regulation of T-helper 1 cell differentiation	GO:0045625
negative regulation of T-helper 1 cell differentiation	GO:0045626
positive regulation of T-helper 1 cell differentiation	GO:0045627
regulation of T-helper 2 cell differentiation	GO:0045628
negative regulation of T-helper 2 cell differentiation	GO:0045629
positive regulation of T-helper 2 cell differentiation	GO:0045630
regulation of mechanoreceptor differentiation	GO:0045631
negative regulation of mechanoreceptor differentiation	GO:0045632
positive regulation of mechanoreceptor differentiation	GO:0045633
regulation of melanocyte differentiation	GO:0045634
negative regulation of melanocyte differentiation	GO:0045635
positive regulation of melanocyte differentiation	GO:0045636
regulation of myeloid blood cell differentiation	GO:0045637
negative regulation of myeloid blood cell differentiation	GO:0045638
positive regulation of myeloid blood cell differentiation	GO:0045639
regulation of basophil differentiation	GO:0045640
negative regulation of basophil differentiation	GO:0045641
positive regulation of basophil differentiation	GO:0045642
regulation of eosinophil differentiation	GO:0045643
negative regulation of eosinophil differentiation	GO:0045644
positive regulation of eosinophil differentiation	GO:0045645
regulation of erythrocyte differentiation	GO:0045646
negative regulation of erythrocyte differentiation	GO:0045647
positive regulation of erythrocyte differentiation	GO:0045648
regulation of macrophage differentiation	GO:0045649
negative regulation of macrophage differentiation	GO:0045650
positive regulation of macrophage differentiation	GO:0045651
regulation of megakaryocyte differentiation	GO:0045652
negative regulation of megakaryocyte differentiation	GO:0045653
positive regulation of megakaryocyte differentiation	GO:0045654
regulation of monocyte differentiation	GO:0045655
negative regulation of monocyte differentiation	GO:0045656
positive regulation of monocyte differentiation	GO:0045657
regulation of neutrophil differentiation	GO:0045658
negative regulation of neutrophil differentiation	GO:0045659
positive regulation of neutrophil differentiation	GO:0045660
regulation of myoblast differentiation	GO:0045661
negative regulation of myoblast differentiation	GO:0045662
positive regulation of myoblast differentiation	GO:0045663
regulation of neuron differentiation	GO:0045664
negative regulation of neuron differentiation	GO:0045665
positive regulation of neuron differentiation	GO:0045666
regulation of osteoblast differentiation	GO:0045667
negative regulation of osteoblast differentiation	GO:0045668
positive regulation of osteoblast differentiation	GO:0045669
regulation of osteoclast differentiation	GO:0045670
negative regulation of osteoclast differentiation	GO:0045671
positive regulation of osteoclast differentiation	GO:0045672
regulation of photoreceptor differentiation (sensu Drosophila)	GO:0045673
negative regulation of photoreceptor differentiation (sensu Drosophila)	GO:0045674
positive regulation of photoreceptor differentiation (sensu Drosophila)	GO:0045675
regulation of R7 differentiation	GO:0045676
negative regulation of R7 differentiation	GO:0045677
positive regulation of R7 differentiation	GO:0045678
regulation of R8 differentiation	GO:0045679
negative regulation of R8 differentiation	GO:0045680
positive regulation of R8 differentiation	GO:0045681
regulation of epidermal differentiation	GO:0045682
negative regulation of epidermal differentiation	GO:0045683
positive regulation of epidermal differentiation	GO:0045684
regulation of glia cell differentiation	GO:0045685
negative regulation of glia cell differentiation	GO:0045686
positive regulation of glia cell differentiation	GO:0045687
regulation of antipodal cell differentiation	GO:0045688
negative regulation of antipodal cell differentiation	GO:0045689
positive regulation of antipodal cell differentiation	GO:0045690
regulation of female gametophyte central cell differentiation	GO:0045691
negative regulation of female gametophyte central cell differentiation	GO:0045692
positive regulation of female gametophyte central cell differentiation	GO:0045693
regulation of female gametophyte egg cell differentiation	GO:0045694
negative regulation of female gametophyte egg cell differentiation	GO:0045695
positive regulation of female gametophyte egg cell differentiation	GO:0045696
regulation of synergid cell differentiation	GO:0045697
negative regulation of synergid cell differentiation	GO:0045698
positive regulation of synergid cell differentiation	GO:0045699
regulation of spermatid nuclear differentiation	GO:0045700
negative regulation of spermatid nuclear differentiation	GO:0045701
positive regulation of spermatid nuclear differentiation	GO:0045702
regulation of salivary gland determination	GO:0045704
negative regulation of salivary gland determination	GO:0045705
positive regulation of salivary gland determination	GO:0045706
regulation of adult salivary gland determination	GO:0045707
regulation of larval salivary gland determination	GO:0045708
negative regulation of adult salivary gland determination	GO:0045709
negative regulation of larval salivary gland determination	GO:0045710
positive regulation of adult salivary gland determination	GO:0045711
positive regulation of larval salivary gland determination	GO:0045712
low-density lipoprotein receptor biosynthesis	GO:0045713
regulation of low-density lipoprotein receptor biosynthesis	GO:0045714
negative regulation of low-density lipoprotein receptor biosynthesis	GO:0045715
positive regulation of low-density lipoprotein receptor biosynthesis	GO:0045716
negative regulation of fatty acid biosynthesis	GO:0045717
negative regulation of flagella biosynthesis	GO:0045718
negative regulation of glycogen biosynthesis	GO:0045719
negative regulation of integrin biosynthesis	GO:0045720
negative regulation of gluconeogenesis	GO:0045721
positive regulation of gluconeogenesis	GO:0045722
positive regulation of fatty acid biosynthesis	GO:0045723
positive regulation of flagella biosynthesis	GO:0045724
positive regulation of glycogen biosynthesis	GO:0045725
positive regulation of integrin biosynthesis	GO:0045726
positive regulation of protein biosynthesis	GO:0045727
respiratory burst after phagocytosis	GO:0045728
respiratory burst at fertilization	GO:0045729
respiratory burst	GO:0045730
positive regulation of protein catabolism	GO:0045732
acetate catabolism	GO:0045733
regulation of acetate catabolism	GO:0045734
negative regulation of CDK activity	GO:0045736
positive regulation of CDK activity	GO:0045737
negative regulation of DNA repair	GO:0045738
positive regulation of DNA repair	GO:0045739
positive regulation of DNA replication	GO:0045740
positive regulation of EGF receptor activity	GO:0045741
positive regulation of EGF receptor signaling pathway	GO:0045742
positive regulation of FGF receptor signaling pathway	GO:0045743
negative regulation of G-protein coupled receptor protein signaling pathway	GO:0045744
positive regulation of G-protein coupled receptor protein signaling pathway	GO:0045745
negative regulation of N signaling pathway	GO:0045746
positive regulation of N signaling pathway	GO:0045747
positive regulation of R8 spacing	GO:0045748
negative regulation of S phase of mitotic cell cycle	GO:0045749
positive regulation of S phase of mitotic cell cycle	GO:0045750
negative regulation of Tl signaling pathway	GO:0045751
positive regulation of Tl signaling pathway	GO:0045752
negative regulation of acetate catabolism	GO:0045753
positive regulation of acetate catabolism	GO:0045754
negative regulation of acetate induction of acetate catabolism	GO:0045755
positive regulation of acetate induction of acetate catabolism	GO:0045756
negative regulation of actin polymerization and/or depolymerization	GO:0045757
positive regulation of actin polymerization and/or depolymerization	GO:0045758
negative regulation of action potential	GO:0045759
positive regulation of action potential	GO:0045760
regulation of adenylate cyclase activity	GO:0045761
positive regulation of adenylate cyclase activity	GO:0045762
negative regulation of amino acid metabolism	GO:0045763
positive regulation of amino acid metabolism	GO:0045764
regulation of angiogenesis	GO:0045765
positive regulation of angiogenesis	GO:0045766
regulation of anti-apoptosis	GO:0045767
positive regulation of anti-apoptosis	GO:0045768
negative regulation of asymmetric cytokinesis	GO:0045769
positive regulation of asymmetric cytokinesis	GO:0045770
negative regulation of autophagic vacuole size	GO:0045771
positive regulation of autophagic vacuole size	GO:0045772
positive regulation of axon extension	GO:0045773
negative regulation of beta 2 integrin biosynthesis	GO:0045774
positive regulation of beta 2 integrin biosynthesis	GO:0045775
negative regulation of blood pressure	GO:0045776
positive regulation of blood pressure	GO:0045777
positive regulation of bone formation	GO:0045778
negative regulation of bone resorption	GO:0045779
positive regulation of bone resorption	GO:0045780
negative regulation of budding	GO:0045781
positive regulation of budding	GO:0045782
positive regulation of cell adhesion	GO:0045785
negative regulation of cell cycle	GO:0045786
positive regulation of cell cycle	GO:0045787
negative regulation of cell size	GO:0045792
positive regulation of cell size	GO:0045793
negative regulation of cell volume	GO:0045794
positive regulation of cell volume	GO:0045795
