Ribosomal protein L11, RNA binding domain	PF00298
Clathrin propeller repeat. Clathrin is the scaffold protein of the basket-like coat that surrounds coated vesicles. The soluble assembly unit, a triskelion, contains three heavy chains and three light chains in an extended three-legged structure. Each le	PF01394
tRNA synthetases class I (W and Y)	PF00579
Galanin	PF01296
Cornifin (SPRR) family	PF02389
Glycosyl transferases group 1. Mutations in this domain may lead to disease (Paroxysmal Nocturnal haemoglobinuria). Members of this family transfer activated sugars to a variety of substrates, including glycogen, Fructose-6-phosphate and lipopolysacchari	PF00534
DNA/RNA non-specific endonuclease	PF01223
Phospholipase/Carboxylesterase. This family consists of both phospholipases and carboxylesterases with broad substrate specificity, and is structurally related to alpha/beta hydrolases pfam00561	PF02230
TMS membrane protein/tumour differentially expressed protein (TDE)	PF03348
F-box associated region. Members of this family are associated with F-box domains, hence the name FBA. This domain is probably involved in binding other proteins that will be targeted for ubiquitination. One member is involved in binding to N-glycosylated	PF04300
3'-5' exonuclease	PF01612
Dipeptidyl peptidase IV (DPP IV) N-terminal region. This family is an alignment of the region to the N-terminal side of the active site	PF00930
Uncharacterized ACR, YdiU/UPF0061 family	PF02696
Mitochondrial carrier protein	PF00153
Ribosomal protein L34e	PF01199
Dishevelled specific domain. This domain is specific to the signaling protein dishevelled. The domain is found adjacent to the PDZ domain pfam00595, often in conjunction with DEP (pfam00610) and DIX (pfam00778)	PF02377
Sec1 family	PF00995
Protein of unknown function (DUF409). Family of eukaryotic membrane proteins with unknown function	PF04188
Domain of unknown function DUF60. The proteins in this family have no known function. Two proteins have been annotated as phosphotransferases, however this is not supported experimentally, and should be viewed with caution	PF01885
Thiolase, N-terminal domain. Thiolase is reported to be structurally related to beta-ketoacyl synthase (pfam00109), and also chalcone synthase	PF00108
Plasmid Maintenance Protein. The SMP protein has been implemented in plasmid stability	PF03901
Bacterial surface antigen. This entry includes the following surface antigens; D15 antigen from H.influenzae	PF01103
Ribosomal protein L6, N-terminal domain	PF03868
Neuromedin U	PF02070
Poxvirus D5 protein. This protein is necessary for viral DNA replication, and is a nucleic acid independent nucleoside triphosphatase	PF03288
Transcription factor IIA, alpha/beta subunit. Transcription initiation factor IIA (TFIIA) is a heterotrimer, the three subunits being known as alpha, beta, and gamma, in order of molecular weight. The N and C-terminal domains of the gamma subunit are repr	PF03153
Bacterial extracellular solute-binding proteins, family 3	PF00497
Ferric reductase like transmembrane component. This family includes a common region in the transmembrane proteins mammalian cytochrome B-245 heavy chain (gp91-phox), ferric reductase transmembrane component in yeast and respiratory burst oxidase from mou	PF01794
Transferring receptor-like dimerisation domain. This domain is involved in dimerisation of the transferrin receptor as shown in its crystal structure	PF04253
Glycosyl hydrolase family 79, N-terminal domain. Family of endo-beta-N-glucuronidase, or heparanase. Heparan sulfate proteoglycans (HSPGs) play a key role in the self- assembly, insolubility and barrier properties of basement membranes and extracellular m	PF03662
Transketolase, C-terminal domain. The C-terminal domain of transketolase has been proposed as a regulatory molecule binding site	PF02780
Dynamin GTPase effector domain	PF02212
Borrelia outer surface protein D (OspD)	PF03207
Clusterin	PF01093
Eukaryotic protein of unknown function, DUF292	PF03398
Uncharacterized ACR, YggU family COG1872	PF02594
RIH domain. The RIH (RyR and IP3R Homology) domain is an extracellular domain from two types of calcium channels. This region is found in the ryanodine receptor and the inositol-1,4,5- trisphosphate receptor. This domain may form a binding site for IP3	PF01365
Nucleoside transporter. This is a family of nucleoside transporters. In mammalian cells nucleoside transporters transport nucleoside across the plasma membrane and are essential for nucleotide synthesis via the salvage pathways for cells that lack their	PF01733
pfam02919, Topoisomer_I_N, Eukaryotic DNA topoisomerase I, DNA binding fragment. Topoisomerase I promotes the relaxation of DNA superhelical tension by introducing a transient single-stranded break in duplex DNA and are vital for the processes of replicat	PF02919
Orn/Lys/Arg decarboxylase, major domain	PF01276
Proteasome activator pa28 alpha subunit. PA28 activator complex (also known as 11s regulator of 20S proteasome) is a ring shaped hexameric structure of alternating alpha and beta subunits. This family represents the alpha subunit. The activator complex b	PF02251
Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region. Poly(ADP-ribose) polymerase is an important regulatory component of the cellular response to DNA damage. The amino-terminal region of Poly(ADP-ribose) polymerase consists of two PARP-type zinc f	PF00645
5-formyltetrahydrofolate cyclo-ligase family. 5-formyltetrahydrofolate cyclo-ligase or methenyl-THF synthetase EC:6.3.3.2 catalyses the interchange of 5-formyltetrahydrofolate (5-FTHF) to 5-10-methenyltetrahydrofolate, this requires ATP and Mg2+. 5-FTHF	PF01812
HlyD family secretion protein	PF00529
Ribosomal protein L15 amino terminal region. This family is always associated with pfam00256. This family is diagnostic of ribosomal L15 proteins	PF01305
NADP oxidoreductase coenzyme F420-dependent	PF03807
SAM dependent carboxyl methyltransferase. This family of plant methyltransferases contains enzymes that act on a variety of substrates including salicylic acid, jasmonic acid and 7-Methylxanthine. Caffeine is synthesized through sequential three-step meth	PF03492
Microtubule associated protein 1A/1B, light chain 3. Light chain 3 is proposed to function primarily as a subunit of microtubule associated proteins 1A and 1B and that its expression may regulate microtubule binding activity	PF02991
Env gp36 protein (HERV/MMTV type). This family includes the GP36 protein from retroviruses such as mouse mammary tumour virus (MMTV) and human endogenous retroviruses (HERVs). The GP36 protein is an envelope protein that has a predicted transmembrane heli	PF03056
Uncharacterised protein family (UPF0123). This family of proteins are uncharacterised, they contain five CXXC motifs	PF03660
WHEP-TRS domain	PF00458
Rabaptin	PF03528
RNA polymerase Rpb5, N-terminal domain. Rpb5 has a bipartite structure which includes a eukaryote-specific N-terminal domain and a C-terminal domain resembling the archaeal RNAP subunit H. The N-terminal domain is involved in DNA binding and is part of t	PF03871
Uncharacterised protein family (UPF0169). Members of this family are predicted to be lipoproteins. The function of these proteins is unknown	PF03696
Metallo-beta-lactamase superfamily	PF00753
Legume-like lectin family. Lectins are structurally diverse proteins that bind to specific carbohydrates. This family includes the VIP36 and ERGIC-53 lectins. These two proteins were the first recognized members of a family of animal lectins similar (19-2	PF03388
uDENN domain. This region is always found associated with pfam02141. It is predicted to form an all beta domain	PF03456
Ribosomal L39 protein	PF00832
Glypican	PF01153
Alpha crystallin A chain, N terminal	PF00525
Dor1-like family. Dor1 is involved in vesicle targeting to the yeast Golgi apparatus and complexes with a number of other trafficking proteins, which include Sec34 and Sec35	PF04124
Ribosomal protein L36e	PF01158
Somatomedin B domain	PF01033
HEC/Ndc80p family. Members of this family are components of the mitotic spindle. It has been shown that Ndc80/HEC from yeast is part of a complex called the Ndc80p complex. This complex is thought to bind to the microtubules of the spindle	PF03801
Uncharacterized BCR, YhhW family COG1741	PF02678
Glutaminyl cyclase. Glutaminyl cyclase catalyses the formation of the pyroglutamyl residue present at the amino terminus of numerous secretory peptides and proteins. Glutaminyl cyclase posses a zinc aminopeptidase domain in which the four functionally im	PF03565
NUDIX domain	PF00293
K+ channel tetramerisation domain. The N-terminal, cytoplasmic tetramerization domain (T1) of voltage-gated K+ channels encodes molecular determinants for subfamily-specific assembly of alpha-subunits into functional tetrameric channels. It is distantly r	PF02214
Syntaxin	PF00804
E1-E2 ATPase	PF00122
eIF4-gamma/eIF5/eIF2-epsilon. This domain of unknown function is found at the C-terminus of several translation initiation factors	PF02020
NifU-like domain. This is an alignment of the carboxy-terminal domain. This is the only common region between the NifU protein from nitrogen-fixing bacteria and rhodobacterial species. The biochemical function of NifU is unknown	PF01106
Thioredoxin	PF00085
Ribosomal protein L22p/L17e. This family includes L22 from prokaryotes and chloroplasts and L17 from eukaryotes	PF00237
Interferon regulatory factor transcription factor. This family of transcription factors are important in the regulation of interferons in response to infection by virus and in the regulation of interferon-inducible genes. Three of the five conserved tryp	PF00605
Putative membrane protein. This family called family 8 in, may be a transmembrane protein The specific function of this protein is unknown	PF01062
AN1-like Zinc finger. Zinc finger at the C-terminus of An1, a ubiquitin-like protein in Xenopus laevis. The following pattern describes the zinc finger. C-X2-C-X(9-12)-C-X(1-2)-C-X4-C-X2-H-X5-H-X-C Where X can be any amino acid, and numbers in brackets i	PF01428
PAC motif. PAC motif occurs C-terminal to a subset of all known PAS motifs. It is proposed to contribute to the PAS domain fold	PF00785
Tubulin/FtsZ family, GTPase domain. This family includes the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins. Members of this family are involved in polymer formation. FtsZ is the polymer-forming protein of bacterial	PF00091
DDT domain. This domain is predicted to be a DNA binding domain. The DDT domain is named after (DNA binding homeobox and Different Transcription factors)	PF02791
Cysteine rich repeat. This cysteine rich repeat contains four cysteines. It is found in multiple copies in a protein that binds to fibroblast growth factors. The repeat is also found in MG160 and E-selectin ligand (ESL-1)	PF00839
CDC45-like protein. CDC45 is an essential gene required for initiation of DNA replication in S. cerevisiae, forming a complex with MCM5/CDC46. Homologs of CDC45 have been identified in human, mouse and smut fungus among others	PF02724
CBL proto-oncogene N-terminus, EF hand-like domain. Cbl is an adaptor protein that binds EGF receptors (or other tyrosine kinases) and SH3 domains, functioning as a negative regulator of many signaling pathways. The N-terminal domain is evolutionarily con	PF02761
Malic enzyme, N-terminal domain	PF00390
Tau and MAP protein, tubulin-binding repeat	PF00418
Hemopexin. Hemopexin is a heme-binding protein that transports heme to the liver. Hemopexin-like repeats occur in vitronectin and some matrix metallopeptidases family (matrixins). The HX repeats of some matrixins bind tissue inhibitor of metallopeptidase	PF00045
Ribosomal L27e protein family. The N-terminal region of the eukaryotic ribosomal L27 has the KOW motif. C-terminal region is represented by this family	PF01777
Recombination activating protein 2. V-D-J recombination is the combinatorial process by which the huge range of immunoglobulin and T cell binding specificity is generated from a limited amount of genetic material. This process is synergistically activate	PF03089
Chaperonin 10 Kd subunit	PF00166
Methylmalonyl-CoA mutase. The enzyme methylmalonyl-CoA mutase is a member of a class of enzymes that uses coenzyme B12 (adenosylcobalamin) as a cofactor. The enzyme induces the formation of an adenosyl radical from the cofactor. This radical then initiat	PF01642
Retrotransposon gag protein. Gag or Capsid-like proteins from LTR retrotransposons. There is a central motif QGXXEXXXXXFXXLXXH that is common to Retroviridae gag-proteins, but is poorly conserved	PF03732
RUN domain. This domain is present in several proteins that are linked to the functions of GTPases in the Rap and Rab families. They could hence play important roles in multiple Ras-like GTPase signaling pathways	PF02759
Adenosine deaminase z-alpha domain. This family consists of the N-terminus and thus the z-alpha domain of double-stranded RNA-specific adenosine deaminase (ADAR), an RNA- editing enzyme. The z-alpha domain is a Z-DNA binding domain, and binding of this re	PF02295
pfam02911, formyl_trans_C, Formyl transferase, C-terminal domain	PF02911
Uncharacterised protein family (UPF0080)	PF03651
Dual specificity phosphatase, catalytic domain. Ser/Thr and Tyr protein phosphatases. The enzyme's tertiary fold is highly similar to that of tyrosine-specific phosphatases, except for a "recognition" region	PF00782
NTR/C345C module. We have not included the related pfam00965 family. It has been suggested that the common function of these modules is binding to metzincins. A subset of this family is known as the C345C domain because it occurs in complement C3, C4 and	PF01759
Eukaryotic ribosomal protein L18	PF00828
pfam02926, THUMP, THUMP domain. The THUMP domain is named after after thiouridine synthases, methylases and PSUSs. The THUMP domain consists of about 110 amino acid residues. It is predicted that this domain is an RNA-binding domain that adopts an alpha/	PF02926
Ciliary neurotrophic factor	PF01110
F-box domain	PF00646
Transcription factor Tfb2	PF03849
Glycoprotease family	PF00814
Major Vault Protein repeat. The vault is a ubiquitous and highly conserved ribonucleoprotein particle of approximately 13 mDa of unknown function. This family corresponds to a repeat found in the amino terminal half of the major vault protein	PF01505
Ctr copper transporter family. The redox active metal copper is an essential cofactor in critical biological processes such as respiration, iron transport, oxidative stress protection, hormone production, and pigmentation. A widely conserved family of hig	PF04145
Phosphatidylserine decarboxylase. This is a family of phosphatidylserine decarboxylases, EC:4.1.1.65. These enzymes catalyse the reaction: Phosphatidyl-L-serine <=> phosphatidylethanolamine + CO2. Phosphatidylserine decarboxylase plays a central role in t	PF02666
Transcription factor Tfb4	PF03850
Glutamate-cysteine ligase. This family represents the catalytic subunit of glutamate-cysteine ligase (E.C. 6.3.2.2), also known as gamma-glutamylcysteine synthetase (GCS). This enzyme catalyses the rate limiting step in the biosynthesis of glutathione. Th	PF03074
Homeobox domain	PF00046
Na+ dependent nucleoside transporter. This family consists of nucleoside transport proteins, like a purine-specific Na+-nucleoside cotransporter localized to the bile canalicular membrane, or a Na+-dependent nucleoside transporter selective for pyrimidine	PF01773
Polysaccharide deacetylase. This domain is found in polysaccharide deacetylase. This family of polysaccharide deacetylases includes NodB (nodulation protein B from Rhizobium) which is a chitooligosaccharide deacetylase. It also includes chitin deacetylase	PF01522
Cytosol aminopeptidase family, N-terminal domain	PF02789
pfam02887, PK_C, Pyruvate kinase, alpha/beta domain	PF02887
RPEL repeat	PF02755
pfam02877, PARP_reg, Poly(ADP-ribose) polymerase, regulatory domain. Poly(ADP-ribose) polymerase catalyses the covalent attachment of ADP-ribose units from NAD+ to itself and to a limited number of other DNA binding proteins, which decreases their affinit	PF02877
Deuterolysin metalloprotease (M35) family	PF02102
Ribosomal protein S21e	PF01249
RhoGAP domain. GTPase activator proteins towards Rho/Rac/Cdc42-like small GTPases	PF00620
ZPR1 zinc-finger domain. The zinc-finger protein ZPR1 is ubiquitous among eukaryotes. It is indeed known to be an essential protein in yeast. In quiescent cells, ZPR1 is localized to the cytoplasm. But in proliferating cells treated with EGF or with othe	PF03367
GTF2I-like repeat. This region of sequence similarity is found up to six times in a variety of proteins including GTF2I. It has been suggested that this may be a DNA binding domain	PF02946
MmgE/PrpD family. This family includes 2-methylcitrate dehydratase EC:4.2.1.79 (PrpD) that is required for propionate catabolism. It catalyses the third step of the 2-methylcitric acid cycle	PF03972
FYVE zinc finger	PF01363
Vacuolar protein sorting-associated protein 35. Vacuolar protein sorting-associated protein (Vps) 35 is one of around 50 proteins involved in protein trafficking. In particular, Vps35 assembles into a retromer complex with at least four other proteins Vps	PF03635
Intercellular adhesion molecule (ICAM), N-terminal domain. ICAMs normally functions to promote intercellular adhesion and signaling. However, The N-terminal domain of the receptor binds to the rhinovirus 'canyon' surrounding the icosahedral 5-fold axes, d	PF03921
Integrase DNA binding domain. Integrase mediates integration of a DNA copy of the viral genome into the host chromosome. Integrase is composed of three domains. The amino-terminal domain is a zinc binding domain. The central domain is the catalytic domai	PF00552
Rhomboid family. This family contains integral membrane proteins that are related to Drosophila rhomboid protein. Members of this family are found in bacteria and eukaryotes. Rhomboid promotes the cleavage of the membrane-anchored TGF-alpha-like growth f	PF01694
RasGEF domain. Guanine nucleotide exchange factor for Ras-like small GTPases	PF00617
Nuf2 family. Members of this family are components of the mitotic spindle. It has been shown that Nuf2 from yeast is part of a complex called the Ndc80p complex. This complex is thought to bind to the microtubules of the spindle. An arabidopsis protein h	PF03800
Sigma-54 interaction domain	PF00158
Marek's disease glycoprotein A	PF02124
Archaeal ATPase. This family contain a conserved P-loop motif that is involved in binding ATP. This family is only found in archaebacteria and particularly in Methanococcus jannaschii that encodes sixteen members of this family	PF01637
Patatin-like phospholipase. This family consists of various patatin glycoproteins from plants. The patatin protein accounts for up to 40% of the total soluble protein in potato tubers. Patatin is a storage protein but it also has the enzymatic activity o	PF01734
Uncharacterized protein family UPF0001	PF01168
Ribosomal L28e protein family	PF01778
Galactosyltransferase. This is a family of galactosyltransferases from a wide range of Metazoa with three related galactosyltransferases activitys	PF02709
Pyridine nucleotide-disulphide oxidoreductase. This family includes both class I and class II oxidoreductases and also NADH oxidases and peroxidases. This domain is actually a small NADH binding domain within a larger FAD binding domain	PF00070
Uncharacterized protein family UPF0005	PF01027
Hr1 repeat	PF02185
Glutathione S-transferase, N-terminal domain. Function: conjugation of reduced glutathione to a variety of targets. Also included in the alignment, but are not GSTs: * S-crystallins from squid. Similarity to GST previously noted. * Eukaryotic elongation f	PF02798
Glutamine amidotransferase class-I	PF00117
Uncharacterized protein family UPF0007	PF01128
Telomere-binding protein alpha subunit, N-terminal domain. The telomere-binding protein forms a heterodimer in ciliates consisting of an alpha and a beta subunit. This complex may function as a protective cap for the single-stranded telomeric overhang. A	PF02307
Integral membrane protein DUF92. Members of this family have several predicted transmembrane helices. The function of these prokaryotic proteins is unknown	PF01940
Iron-containing alcohol dehydrogenase	PF00465
Major intrinsic protein. MIP (Major Intrinsic Protein) family proteins exhibit essentially two distinct types of channel properties: (1) specific water transport by the aquaporins, and (2) small neutral solutes transport, such as glycerol by the glycerol	PF00230
Tumor protein D52 family. The hD52 gene was originally identified through its elevated expression level in human breast carcinoma. Cloning of D52 homologues from other species has indicated that D52 may play roles in calcium-mediated signal transduction	PF04201
Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain. GAPDH is a tetrameric NAD-binding enzyme involved in glycolysis and glyconeogenesis. C-terminal domain is a mixed alpha/antiparallel beta fold	PF02800
Calx-beta domain	PF03160
Cytochrome c oxidase subunit VIIa. Cytochrome c oxidase, a 13 sub-unit complex, is the terminal oxidase in the mitochondrial electron transport chain. This family is composed of the heart and liver isoforms of cytochrome c oxidase subunit VIIa	PF02238
Mpp10 protein. This family includes proteins related to Mpp10 (M phase phosphoprotein 10). The U3 small nucleolar ribonucleoprotein (snoRNP) is required for three cleavage events that generate the mature 18S rRNA from the pre-rRNA. In Saccharomyces cerev	PF04006
FG-GAP repeat	PF01839
Mob1/phocein family. Mob1 is an essential Saccharomyces cerevisiae protein, identified from a two-hybrid screen, that binds Mps1p, a protein kinase essential for spindle pole body duplication and mitotic checkpoint regulation. Mob1 contains no known struc	PF03637
Bcl-2 homology region 4	PF02180
Lysophospholipase catalytic domain. This family consists of Lysophospholipase / phospholipase B EC:3.1.1.5 and cytosolic phospholipase A2 EC:3.1.4 which also has a C2 domain pfam00168. Phospholipase B enzymes catalyse the release of fatty acids from lyso	PF01735
Protein of unknown function (DUF343). This family of short proteins have no known function. The bacterial members are about 60-70 amino acids in length and the eukaryotic examples are about 120 amino acids in length. The C terminus contains the strongest	PF03966
6-O-methylguanine DNA methyltransferase, DNA binding domain. This domain is a 3 helical bundle	PF01035
pfam02931, Neur_chan_LBD, Neurotransmitter-gated ion-channel ligand binding domain. This family is the extracellular ligand binding domain of these ion channels. This domain forms a pentameric arrangement in the known structure	PF02931
Connexin	PF00029
RhoGEF domain. Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases Also called Dbl-homologous (DH) domain. It appears that pfam00169 domains invariably occur C-terminal to RhoGEF/DH domains	PF00621
SAND family protein. Members of this family are uncharacterised proteins that have been called SAND proteins. These protein do not contain a SAND domain. The members of this family are 500-600 amino acids long and contain several conserved motifs	PF03164
Giardia variant-specific surface protein	PF03302
Putative tRNA binding domain. This domain is found in prokaryotic methionyl-tRNA synthetases, prokaryotic phenylalanyl tRNA synthetases the yeast GU4 nucleic-binding protein (G4p1 or p42, ARC1), human tyrosyl-tRNA synthetase, and endothelial-monocyte act	PF01588
6-pyruvoyl tetrahydropterin synthase. 6-Pyruvoyl tetrahydrobiopterin synthase catalyses the conversion of dihydroneopterin triphosphate to 6-pyruvoyl tetrahydropterin, the second of three enzymatic steps in the synthesis of tetrahydrobiopterin from GTP.	PF01242
Profilin	PF00235
SRP54-type protein, GTPase domain. This family includes relatives of the G-domain of the SRP54 family of proteins	PF00448
Subtilase family. Subtilases are a family of serine proteases. They appear to have independently and convergently evolved an Asp/Ser/His catalytic triad, like that found in the trypsin serine proteases (see pfam00089). Structure is an alpha/beta fold cont	PF00082
Tetraacyldisaccharide-1-P 4'-kinase. This family consists of tetraacyldisaccharide-1-P 4'-kinase also known as Lipid-A 4'-kinase or Lipid A biosynthesis protein LpxK, EC:2.7.1.130. This enzyme catalyses the reaction: ATP + 2,3-bis(3-hydroxytetradecanoyl)-	PF02606
Phage maturation protein	PF03863
Hydantoinase B/oxoprolinase. This family includes N-methylhydaintoinase B which converts hydantoin to N-carbamyl-amino acids, and 5-oxoprolinase EC:3.5.2.9 which catalyses the formation of L-glutamate from 5-oxo-L-proline. These enzymes are part of the ox	PF02538
Melibiase	PF02065
Ssl1-like. Ssl1-like proteins are 40kDa subunits of the Transcription factor II H complex	PF04056
CNH domain. Domain found in NIK1-like kinase, mouse citron and yeast ROM1, ROM2. Unpublished observations	PF00780
linker histone H1 and H5 family. Linker histone H1 is an essential component of chromatin structure. H1 links nucleosomes into higher order structures Histone H1 is replaced by histone H5 in some cell types	PF00538
TatD related DNase. This family of proteins are related to a large superfamily of metalloenzymes. TatD, a member of this family has been shown experimentally to be a DNase enzyme	PF01026
Proteasome activator pa28 beta subunit. PA28 activator complex (also known as 11s regulator of 20S proteasome) is a ring shaped hexameric structure of alternating alpha and beta subunits. This family represents the beta subunit. The activator complex bind	PF02252
PAN domain. The PAN domain contains a conserved core of three disulphide bridges. In some members of the family there is an additional fourth disulphide bridge the links the N and C termini of the domain. The domain is found in diverse proteins, in some	PF00024
Nucleotidyltransferase domain. Members of this family belong to a large family of nucleotidyltransferases. This family includes kanamycin nucleotidyltransferase (KNTase) which is a plasmid-coded enzyme responsible for some types of bacterial resistance t	PF01909
Pancreatic ribonuclease. Ribonucleases. Members include pancreatic RNAase A and angiogenins. Structure is an alpha+beta fold -- long curved beta sheet and three helices	PF00074
Peptidyl-tRNA hydrolase domain. This domain is found in peptide chain release factors such as RF-1 and RF-2, and a number of smaller proteins of unknown function. This domain contains the peptidyl-tRNA hydrolase activity. The domain contains a highly con	PF00472
ZPR1 zinc-finger domain. The zinc-finger protein ZPR1 is ubiquitous among eukaryotes. It is indeed known to be an essential protein in yeast. In quiescent cells, ZPR1 is localized to the cytoplasm. But in proliferating cells treated with EGF or with other	PF03367
Uncharacterised protein family (UPF0083)	PF03654
Iodothyronine deiodinase	PF00837
Putative methyltransferase. Members of this family of hypothetical plant proteins are probably methyltransferases: several of the aligned sequences either match methyltransferase profiles, or contain a SAM-binding motif. One member contains both	PF03141
Phosphorylase family	PF01048
Rabphilin-3A effector domain. This is a family of proteins involved in protein transport in synaptic vesicles. Rabphilin-3A has been shown to contact Rab3A, a small G protein important in neurotransmitter release, in two distinct areas	PF02318
Mitochondrial glycoprotein. This mitochondrial matrix protein family contains members of the MAM33 family which bind to the globular 'heads' of C1Q. It is thought to be involved in mitochondrial oxidative phosphorylation and in nucleus-mitochondrion inte	PF02330
Pyruvate kinase, barrel domain. This domain of the is actually a small beta-barrel domain nested within a larger TIM barrel. The active site is found in a cleft between the two domains	PF00224
DIX domain. The DIX domain is present in Dishevelled and axin. This domain is involved in homo- and hetero-oligomerisation. It is involved in the homo- oligomerisation of mouse axin. The axin DIX domain also interacts with the disheveled DIX domain. The D	PF00778
Kazal-type serine protease inhibitor domain. Usually indicative of serine protease inhibitors. However, kazal-like domains are also seen in the extracellular part of agrins, which are not known to be protease inhibitors. Kazal domains often occur in tande	PF00050
Amidinotransferase. This family contains glycine (EC:2.1.4.1) and inosamine (EC:2.1.4.2) amidinotransferases, enzymes involved in creatine and streptomycin biosynthesis respectively. This family also includes arginine deiminases, EC:3.5.3.6. These enzymes	PF02274
Mov34/MPN/PAD-1 family. Members of this family are found in proteasome regulatory subunits, eukaryotic initiation factor 3 (eIF3) subunits and regulators of transcription factors. This family is also known as the MPN domain and PAD-1-like domain. It has	PF01398
LIM-domain binding protein. The LIM-domain binding protein, binds to the LIM domain pfam00412 of LIM homeodomain proteins which are transcriptional regulators of development. Nuclear LIM interactor (NLI) / LIM domain-binding protein 1 (LDB1) is located in	PF01803
BSD domain. This domain contains a distinctive -FW- motif. It is found in a family of eukaryotic transcription factors as well as a set of proteins of unknown function	PF03909
Riboflavin kinase / FAD synthetase. This family consists part of the bifunctional enzyme riboflavin kinase / FAD synthetase. These enzymes have both ATP:riboflavin 5'-phospho transferase and ATP:FMN-adenylyltransferase activitys. They catalyse the 5'-pho	PF01687
Putative esterase. This family contains Esterase D. However it is not clear if all members of the family have the same function. This family is possibly related to the pfam00135 family	PF00756
Uncharacterized protein family UPF0021	PF01171
Clathrin light chain	PF01086
6-phosphofructo-2-kinase. This enzyme occurs as a bifunctional enzyme with fructose-2,6-bisphosphatase. The bifunctional enzyme catalyses both the synthesis and degradation of fructose-2,6-bisphosphate, a potent regulator of glycolysis. This enzyme conta	PF01591
Sec61beta family. This family consists of homologues of Sec61beta - a component of the Sec61/SecYEG protein secretory system. The domain is found in eukaryotes and archaea and is possibly homologous to the bacterial SecG	PF03911
Uncharacterized protein family UPF0023	PF01172
AFG1-like ATPase. This family of proteins contains a P-loop motif and are predicted to be ATPases	PF03969
Class II histocompatibility antigen, beta domain	PF00969
Uncharacterized protein family UPF0024	PF01142
Ribosomal protein S24e	PF01282
UBA/TS-N domain. This small domain is composed of three alpha helices. This family includes the previously defined UBA and TS-N domains. The UBA-domain (ubiquitin associated domain) is a novel sequence motif found in several proteins having connections to	PF00627
Aldo/keto reductase family. This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity	PF00248
Uncharacterized protein family UPF0027	PF01139
Uncharacterized protein family UPF0029	PF01205
YEATS family. We have named this family the YEATS family, after `YNK7', `ENL', `AF-9', and `TFIIF small subunit'. This family also contains the GAS41 protein. All these proteins are thought to have a transcription stimulatory activity	PF03366
TSC-22/dip/bun family	PF01166
MATH domain. This motif has been called the Meprin And TRAF-Homology (MATH) domain. This domain is hugely expanded in the nematode C. elegans	PF00917
Domain of unknown function DUF143. This domain has no known function nor do any of the proteins that possess it. The aligned region is approximately 100 amino acids long	PF02410
PPIC-type PPIASE domain. Rotamases increase the rate of protein folding by catalysing the interconversion of cis-proline and trans-proline	PF00639
eIF-6 family. This family includes eukaryotic translation initiation factor 6 as well as presumed archaebacterial homologues	PF01912
D-Ala-D-Ala carboxypeptidase 3 (S13) family	PF02113
impB/mucB/samB family. These proteins are involved in UV protection	PF00817
Coenzyme A transferase	PF01144
Eukaryotic phosphomannomutase. This enzyme EC:5.4.2.8 is involved in the synthesis of the GDP-mannose and dolichol-phosphate-mannose required for a number of critical mannosyl transfer reactions	PF03332
Sterol desaturase. This family includes C-5 sterol desaturase and C-4 sterol methyl oxidase. Members of this family are involved in cholesterol biosynthesis and biosynthesis a plant cuticular wax. These enzymes contain many conserved histidine residues. M	PF01598
KE2 family protein. The function of members of this family is unknown, although they have been suggested to contain a DNA binding leucine zipper motif	PF01920
Flavodoxin-like fold. This family consists of a domain with a flavodoxin-like fold. The family includes bacterial and eukaryotic NAD(P)H dehydrogenase (quinone) EC:1.6.99.2. These enzymes catalyse the NAD(P)H-dependent two-electron reductions of quinones	PF02525
pfam02879, PGM_PMM_II, Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	PF02879
Not1 N-terminal domain, CCR4-Not complex component	PF04065
Transcription factor TFIIB repeat	PF00382
Statherin. Statherin functions biologically to inhibit the nucleation and growth of calcium phosphate minerals. The N-terminus of statherin is highly charge, the glutamic acids of which have been shown to be important in the recognition hydroxyapatite	PF03875
Ferrous iron transport protein B. Escherichia coli has an iron(II) transport system (feo) which may make an important contribution to the iron supply of the cell under anaerobic conditions. FeoB has been identified as part of this transport system. FeoB i	PF02421
Uncharacterized protein family UPF0034	PF01207
Uncharacterized protein family UPF0036	PF02147
Herpes virus major capsid protein. This family represents the major capsid protein (MCP) of herpes viruses. The capsid shell consists of 150 MCP hexamers and 12 MCP pentamers. One pentamer is found at each of the 12 apices of the icosahedral shell, and th	PF03122
Importin beta binding domain. This family consists of the importin alpha (karyopherin alpha), importin beta (karyopherin beta) binding domain. The domain mediates formation of the importin alpha beta complex	PF01749
Putative transcriptional regulator. Members of this family range in length from 140-180 amino acids, some interacts with c-Myc and repress its transcriptional activity. Suggesting that other members of this family may also regulate transcription by intera	PF02996
Guanylate-binding protein, C-terminal domain. Transcription of the anti-viral guanylate-binding protein (GBP) is induced by interferon-gamma during macrophage induction. This family contains GBP1 and GPB2, both GTPases capable of binding GTP, GDP and GMP	PF02841
