ribosomal chaperone activity	GO:0000005
5-chloro-1\,2\,4-trihydroxybenzene dechlorinase activity	GO:0018831
halohydrin hydrogen-halide-lyase B activity	GO:0018832
DDT dehydrochlorinase activity	GO:0018833
dichloromethane dehalogenase activity	GO:0018834
carbon phosphorus lyase activity	GO:0018835
alkylmercury lyase activity	GO:0018836
2-hydroxy-2H-benzo[h]chromene-2-carboxylate isomerase activity	GO:0018837
mandelate racemase activity	GO:0018838
cis-4-[2-(3-hydroxy)-thionaphthenyl]-2-oxo-3-butenoate isomerase activity	GO:0018839
chlorodienelactone isomerase activity	GO:0018840
3-carboxymuconate cycloisomerase type II activity	GO:0018842
2-hydroxytetrahydrofuran isomerase activity	GO:0018844
2-hydroxychromene-2-carboxylate isomerase activity	GO:0018845
styrene oxide isomerase activity	GO:0018846
alpha-pinene lyase activity	GO:0018847
pinocarveol isomerase activity	GO:0018848
muconate cycloisomerase activity	GO:0018849
chloromuconate cycloisomerase activity	GO:0018850
alpha-pinene oxide lyase activity	GO:0018851
dichloromuconate cycloisomerase activity	GO:0018852
perillyl-CoA synthetase activity	GO:0018853
3-isopropenyl-6-oxoheptanoyl-CoA synthetase activity	GO:0018854
2-oxo-delta3-4\,5\,5-trimethylcyclopentenylacetyl-CoA synthetase activity	GO:0018855
benzoyl acetate-CoA ligase activity	GO:0018856
2\,4-dichlorobenzoate-CoA ligase activity	GO:0018857
benzoate-CoA ligase activity	GO:0018858
4-hydroxybenzoate-CoA ligase activity	GO:0018859
anthranilate-CoA ligase activity	GO:0018860
4-chlorobenzoate-CoA ligase activity	GO:0018861
phenylphosphate carboxylase activity	GO:0018862
phenanthrene-9\,10-epoxide hydrolase (9S\,10S-forming) activity	GO:0018863
endonuclease G activity	GO:0019000
guanyl nucleotide binding	GO:0019001
GMP binding	GO:0019002
GDP binding	GO:0019003
N-acetylneuraminic acid phosphate synthase activity	GO:0019007
farnesoic acid O-methyltransferase activity	GO:0019010
viral-cell fusion molecule activity	GO:0019039
viral antireceptor activity	GO:0019041
pyrimidine nucleotide binding	GO:0019103
DNA N-glycosylase activity	GO:0019104
N-palmitoyltransferase activity	GO:0019105
myristoyltransferase activity	GO:0019107
arylaldehyde dehydrogenase activity	GO:0019108
acyl-CoA reductase activity	GO:0019109
oxidoreductase activity\, acting on reduced ferredoxin as donor\, hydrogen ions as acceptor	GO:0019110
phenanthrol sulfotransferase activity	GO:0019111
phenanthrol glycosyltransferase activity	GO:0019112
limonene monooxygenase activity	GO:0019113
catechol dioxygenase activity	GO:0019114
benzaldehyde dehydrogenase activity	GO:0019115
hydroxy-nicotine oxidase activity	GO:0019116
dihydroxyfluorene dioxygenase activity	GO:0019117
phenanthrene-epoxide hydrolase activity	GO:0019118
phenanthrene-9\,10-epoxide hydrolase activity	GO:0019119
hydrolase activity\, acting on acid halide bonds\, in C-halide compounds	GO:0019120
tripeptidyl-peptidase I activity	GO:0019131
C-terminal processing peptidase activity	GO:0019132
choline monooxygenase activity	GO:0019133
glucosamine-1-phosphate N-acetyltransferase activity	GO:0019134
deoxyhypusine monooxygenase activity	GO:0019135
deoxynucleoside kinase activity	GO:0019136
thioglucosidase activity	GO:0019137
ribosylhomocysteinase activity	GO:0019138
cytokinin dehydrogenase activity	GO:0019139
inositol 3-kinase activity	GO:0019140
2-dehydropantoyl-lactone reductase (B-specific) activity	GO:0019141
2-hydroxyglutarate synthase activity	GO:0019142
3-deoxy-manno-octulosonate-8-phosphatase activity	GO:0019143
ADP-sugar diphosphatase activity	GO:0019144
aminobutyraldehyde dehydrogenase activity	GO:0019145
arabinose-5-phosphate isomerase activity	GO:0019146
(R)-aminopropanol dehydrogenase activity	GO:0019147
D-cysteine desulfhydrase activity	GO:0019148
3-chloro-D-alanine dehydrochlorinase activity	GO:0019149
D-ribulokinase activity	GO:0019150
D-galactose 1-dehydrogenase activity	GO:0019151
acetoin dehydrogenase activity	GO:0019152
protein-disulfide reductase (glutathione) activity	GO:0019153
glycolate dehydrogenase activity	GO:0019154
3-(imidazol-5-yl)lactate dehydrogenase activity	GO:0019155
isoamylase activity	GO:0019156
malate oxidase activity	GO:0019157
mannokinase activity	GO:0019158
nicotinamide-nucleotide amidase activity	GO:0019159
NMN nucleosidase activity	GO:0019160
diamine aminotransferase activity	GO:0019161
pyridoxamine-oxaloacetate aminotransferase activity	GO:0019162
pyridoxamine-phosphate aminotransferase activity	GO:0019163
pyruvate synthase activity	GO:0019164
thiamin kinase activity	GO:0019165
trans-2-enoyl-CoA reductase (NADPH) activity	GO:0019166
3-octaprenyl-4-hydroxybenzoate decarboxylase activity	GO:0019167
2-octaprenylphenol hydroxylase activity	GO:0019168
D-lactaldehyde dehydrogenase activity	GO:0019170
3-hydroxyacyl-ACP dehydratase activity	GO:0019171
glyoxalase III activity	GO:0019172
pyrimidine phosphatase activity	GO:0019173
tetrahydrothiophene 1-oxide reductase activity	GO:0019174
alpha-ribazole-5'-P phosphatase activity	GO:0019175
dihydroneopterin monophosphate phosphatase activity	GO:0019176
dihydroneopterin triphosphate pyrophosphohydrolase activity	GO:0019177
NADP phosphatase activity	GO:0019178
dTDP-4-amino-4\,6-dideoxy-D-glucose aminotransferase activity	GO:0019179
dTDP-4-amino-4\,6-dideoxygalactose transaminase activity	GO:0019180
halohydrin hydrogen-halide-lyase activity	GO:0019181
histamine-gated chloride channel activity	GO:0019182
acyl-CoA N-acyltransferase activity	GO:0019186
beta-1\,4-mannosyltransferase activity	GO:0019187
sucrose permease (PTS) activity	GO:0019188
lactose permease activity	GO:0019189
cellobiose permease activity	GO:0019190
cellobiose transporter activity	GO:0019191
fructose porter activity	GO:0019192
sorbose porter activity	GO:0019193
sorbose transporter activity	GO:0019194
galactosamine porter activity	GO:0019195
galactosamine transporter activity	GO:0019196
transmembrane receptor protein phosphatase activity	GO:0019198
transmembrane receptor protein kinase activity	GO:0019199
carbohydrate kinase activity	GO:0019200
nucleotide kinase activity	GO:0019201
amino acid kinase activity	GO:0019202
carbohydrate phosphatase activity	GO:0019203
nucleotide phosphatase activity	GO:0019204
nucleobase\, nucleoside\, nucleotide kinase activity	GO:0019205
nucleoside kinase activity	GO:0019206
kinase regulator activity	GO:0019207
phosphatase regulator activity	GO:0019208
kinase activator activity	GO:0019209
kinase inhibitor activity	GO:0019210
phosphatase activator activity	GO:0019211
phosphatase inhibitor activity	GO:0019212
deacetylase activity	GO:0019213
surfactant activity	GO:0019214
intermediate filament binding	GO:0019215
centromeric DNA binding	GO:0019237
cyclohydrolase activity	GO:0019238
deaminase activity	GO:0019239
oxalate transporter activity	GO:0019531
toxin transporter activity	GO:0019534
ferric-vibriobactin transporter activity	GO:0019535
protein-arginine N5-methyltransferase activity	GO:0019702
protein-cysteine S-myristoyltransferase activity	GO:0019705
protein-cysteine S-palmitoleyltransferase activity	GO:0019706
protein-cysteine S-acyltransferase activity	GO:0019707
mevaldate reductase (NADPH) activity	GO:0019726
mevaldate reductase (NAD) activity	GO:0019727
quinol\:fumarate oxidoreductase activity	GO:0019737
Fc receptor activity	GO:0019763
high affinity Fc receptor activity	GO:0019764
low affinity Fc receptor activity	GO:0019765
IgA receptor activity	GO:0019766
IgE receptor activity	GO:0019767
high affinity IgE receptor activity	GO:0019768
low affinity IgE receptor activity	GO:0019769
IgG receptor activity	GO:0019770
high affinity IgG receptor activity	GO:0019771
low affinity IgG receptor activity	GO:0019772
FAT10 conjugating enzyme activity	GO:0019775
APG8 conjugating enzyme activity	GO:0019776
APG12 conjugating enzyme activity	GO:0019777
APG12 activating enzyme activity	GO:0019778
APG8 activating enzyme activity	GO:0019779
FAT10 activating enzyme activity	GO:0019780
NEDD8 activating enzyme activity	GO:0019781
ISG15 activating enzyme activity	GO:0019782
ubiquitin-like-specific protease activity	GO:0019783
NEDD8-specific protease activity	GO:0019784
ISG15-specific protease activity	GO:0019785
APG8-specific protease activity	GO:0019786
ubiquitin-like-protein ligase activity	GO:0019787
NEDD8 ligase activity	GO:0019788
SUMO ligase activity	GO:0019789
ubiquitin-like hydrolase activity	GO:0019790
FAT10 hydrolase activity	GO:0019791
APG12 hydrolase activity	GO:0019792
ISG15 carrier activity	GO:0019793
procollagen-proline 3-dioxygenase activity	GO:0019797
procollagen-proline dioxygenase activity	GO:0019798
tubulin N-acetyltransferase activity	GO:0019799
bromide peroxidase activity	GO:0019806
aspartoacylase activity	GO:0019807
polyamine binding	GO:0019808
spermidine binding	GO:0019809
putrescine binding	GO:0019810
cocaine binding	GO:0019811
oxygen binding	GO:0019825
oxygen sensor activity	GO:0019826
aspartic protease inhibitor activity	GO:0019828
cation-transporting ATPase activity	GO:0019829
ice nucleation activity	GO:0019833
phospholipase A2 inhibitor activity	GO:0019834
growth factor binding	GO:0019838
isoprenoid binding	GO:0019840
retinol binding	GO:0019841
vitamin binding	GO:0019842
rRNA binding	GO:0019843
D-tyrosyl-tRNA hydrolase activity	GO:0019851
calcium channel inhibitor activity	GO:0019855
IgA binding	GO:0019862
IgE binding	GO:0019863
IgG binding	GO:0019864
immunoglobulin binding	GO:0019865
chloride channel inhibitor activity	GO:0019869
potassium channel inhibitor activity	GO:0019870
sodium channel inhibitor activity	GO:0019871
6-aminohexanoate-cyclic-dimer hydrolase activity	GO:0019874
6-aminohexanoate-dimer hydrolase activity	GO:0019875
protein kinase regulator activity	GO:0019887
protein phosphatase regulator activity	GO:0019888
kinesin binding	GO:0019894
kinesin-associated mitochondrial adaptor activity	GO:0019895
enzyme binding	GO:0019899
kinase binding	GO:0019900
protein kinase binding	GO:0019901
phosphatase binding	GO:0019902
protein phosphatase binding	GO:0019903
protein domain specific binding	GO:0019904
syntaxin binding	GO:0019905
pyruvate dehydrogenase (lipoamide) phosphatase\, intrinsic catalyst activity	GO:0019906
pyruvate dehydrogenase (lipoamide) phosphatase\, intrinsic regulator activity	GO:0019909
structural constituent of myelin sheath	GO:0019911
cyclin-dependent protein kinase activating kinase activity	GO:0019912
cyclin-dependent protein kinase activating kinase\, intrinsic catalyst activity	GO:0019913
cyclin-dependent protein kinase activating kinase\, intrinsic regulator activity	GO:0019914
SUMO activating enzyme activity	GO:0019948
SUMO conjugating enzyme activity	GO:0019949
cytokine binding	GO:0019955
chemokine binding	GO:0019956
C-C chemokine binding	GO:0019957
C-X-C chemokine binding	GO:0019958
interleukin-8 binding	GO:0019959
C-X3-C chemokine binding	GO:0019960
interferon binding	GO:0019961
interferon-alpha/beta binding	GO:0019962
interferon-gamma binding	GO:0019964
interleukin binding	GO:0019965
interleukin-1 binding	GO:0019966
interleukin-1\, Type I\, activating binding	GO:0019967
interleukin-1\, Type II\, blocking binding	GO:0019968
interleukin-10 binding	GO:0019969
interleukin-11 binding	GO:0019970
interleukin-12 binding	GO:0019972
interleukin-13 binding	GO:0019973
interleukin-14 binding	GO:0019974
interleukin-17 binding	GO:0019975
interleukin-2 binding	GO:0019976
interleukin-21 binding	GO:0019977
interleukin-3 binding	GO:0019978
interleukin-4 binding	GO:0019979
interleukin-5 binding	GO:0019980
interleukin-6 binding	GO:0019981
interleukin-7 binding	GO:0019982
interleukin-9 binding	GO:0019983
sigma DNA polymerase activity	GO:0019984
deoxycytidyl transferase activity\, template dependent	GO:0019986
diacylglycerol binding	GO:0019992
heme binding	GO:0020037
complement factor H activity	GO:0030009
tryptase activity	GO:0030019
extracellular matrix structural constituent conferring tensile strength activity	GO:0030020
extracellular matrix structural constituent conferring compression resistance activity	GO:0030021
adhesive extracellular matrix constituent activity	GO:0030022
extracellular matrix constituent conferring elasticity activity	GO:0030023
NADH\:plastoquinone reductase activity	GO:0030024
amine dehydrogenase activity	GO:0030058
aralkylamine dehydrogenase activity	GO:0030059
L-malate dehydrogenase activity	GO:0030060
chlorite dismutase activity	GO:0030065
MHC class I receptor activity	GO:0030106
HLA-A specific inhibitory MHC class I receptor activity	GO:0030107
HLA-A specific activating MHC class I receptor activity	GO:0030108
HLA-B specific inhibitory MHC class I receptor activity	GO:0030109
HLA-C specific inhibitory MHC class I receptor activity	GO:0030110
glial cell line-derived neurotrophic factor receptor binding	GO:0030116
alpha-1\,3(6)-mannosylglycoprotein beta-1\,6-N-acetylglucosaminyltransferase activity	GO:0030144
manganese ion binding	GO:0030145
molybdenum ion binding	GO:0030151
benzodiazepine receptor binding	GO:0030156
peptide O-xylosyltransferase activity	GO:0030158
receptor signaling complex scaffold activity	GO:0030159
GKAP/Homer scaffold activity	GO:0030160
calpain inhibitor activity	GO:0030161
PDZ-domain binding	GO:0030165
low-density lipoprotein binding	GO:0030169
pyridoxal phosphate binding	GO:0030170
voltage-gated proton channel activity	GO:0030171
troponin C binding	GO:0030172
nitric oxide transporter activity	GO:0030184
chaperone regulator activity	GO:0030188
chaperone activator activity	GO:0030189
chaperone inhibitor activity	GO:0030190
Hsp70/Hsc70 protein inhibitor activity	GO:0030191
Hsp70/Hsc70 protein regulator activity	GO:0030192
cyanide hydratase activity	GO:0030196
extracellular matrix constituent\, lubricant activity	GO:0030197
semaphorin receptor binding	GO:0030215
apolipoprotein receptor activity	GO:0030226
apolipoprotein E receptor activity	GO:0030227
lipoprotein receptor activity	GO:0030228
very-low-density lipoprotein receptor activity	GO:0030229
deoxynucleotide transporter activity	GO:0030233
enzyme regulator activity	GO:0030234
nitric oxide synthase regulator activity	GO:0030235
carbohydrate binding	GO:0030246
polysaccharide binding	GO:0030247
cellulose binding	GO:0030248
guanylate cyclase regulator activity	GO:0030249
guanylate cyclase activator activity	GO:0030250
guanylate cyclase inhibitor activity	GO:0030251
quinate 5-dehydrogenase activity	GO:0030266
glyoxylate reductase (NADP) activity	GO:0030267
methylenetetrahydromethanopterin dehydrogenase activity	GO:0030268
tetrahydromethanopterin S-methyltransferase activity	GO:0030269
formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity	GO:0030270
chymase activity	GO:0030271
5-formyltetrahydrofolate cyclo-ligase activity	GO:0030272
melanin-concentrating hormone receptor activity	GO:0030273
LIM-domain binding	GO:0030274
LRR-domain binding	GO:0030275
clathrin binding	GO:0030276
structural constituent of epidermis	GO:0030280
structural constituent of cutaneous appendage activity	GO:0030281
3(or 17)beta-hydroxysteroid dehydrogenase activity	GO:0030283
estrogen receptor activity	GO:0030284
sphingolipid activator protein activity	GO:0030290
protein serine/threonine kinase inhibitor activity	GO:0030291
protein tyrosine kinase inhibitor activity	GO:0030292
transmembrane receptor protein tyrosine kinase inhibitor activity	GO:0030293
receptor signaling protein tyrosine kinase inhibitor activity	GO:0030294
protein kinase activator activity	GO:0030295
protein tyrosine kinase activator activity	GO:0030296
transmembrane receptor protein tyrosine kinase activator activity	GO:0030297
receptor signaling protein tyrosine kinase activator activity	GO:0030298
stromelysin 2 activity	GO:0030303
trypsin inhibitor activity	GO:0030304
heparanase activity	GO:0030305
ARF binding	GO:0030306
estrogen receptor binding	GO:0030331
cyclin binding	GO:0030332
DNA polymerase processivity factor activity	GO:0030337
CMP-N-acetylneuraminate monooxygenase activity	GO:0030338
fatty-acyl-ethyl-ester synthase activity	GO:0030339
hyaluronate lyase activity	GO:0030340
chondroitin AC lyase activity	GO:0030341
1-alpha\,25-dihydroxyvitamin D3 (1\,25-(OH)2D3) 24-hydroxylase activity	GO:0030342
vitamin D3 25-hydroxylase activity	GO:0030343
25-hydroxyvitamin D3 24-hydroxylase activity	GO:0030344
structural constituent of tooth enamel	GO:0030345
protein phosphatase 2B binding	GO:0030346
syntaxin-2 binding	GO:0030347
syntaxin-3 binding	GO:0030348
syntaxin-13 binding	GO:0030349
iron-responsive element binding	GO:0030350
inositol-1\,3\,4\,5\,6-pentakisphosphate 3-phosphatase activity	GO:0030351
inositol-1\,4\,5\,6-tetrakisphosphate 6-phosphatase activity	GO:0030352
fibroblast growth factor receptor antagonist activity	GO:0030353
melanin-concentrating hormone activity	GO:0030354
protein phosphatase type 2B activity	GO:0030357
protein phosphatase type 2B\, intrinsic catalyst activity	GO:0030358
protein phosphatase type 2B\, intrinsic regulator activity	GO:0030359
protein phosphatase type 4 activity	GO:0030360
protein phosphatase type 4\, intrinsic catalyst activity	GO:0030361
protein phosphatase type 4\, intrinsic regulator activity	GO:0030362
pre-mRNA cleavage factor activity	GO:0030363
cleavage/polyadenylation specificity factor activity	GO:0030364
cleavage stimulation factor activity	GO:0030365
Mo-molybdopterin synthase activity	GO:0030366
interleukin-17 receptor binding	GO:0030367
interleukin-17 receptor activity	GO:0030368
ICAM-3 receptor activity	GO:0030369
intercellular adhesion molecule-3 receptor binding	GO:0030370
translation repressor activity	GO:0030371
high molecular weight B-cell growth factor receptor binding	GO:0030372
high molecular weight B-cell growth factor receptor activity	GO:0030373
ligand-dependent nuclear receptor transcription co-activator activity	GO:0030374
thyroid hormone receptor co-activator activity	GO:0030375
ribosome receptor activity	GO:0030376
U-plasminogen activator receptor activity	GO:0030377
serine racemase activity	GO:0030378
neurotensin receptor activity\, non-G-protein coupled	GO:0030379
interleukin-17E receptor binding	GO:0030380
ferredoxin\:thioredoxin reductase activity	GO:0030385
fructosamine-3-kinase activity	GO:0030387
lactose binding	GO:0030395
transcription antiterminator activity	GO:0030401
matrilysin-2 activity	GO:0030402
collagenase 4 activity	GO:0030403
collagenase 3 activity	GO:0030404
matrix metalloproteinase 19 activity	GO:0030405
matrix metalloproteinase 25 activity	GO:0030406
formiminotransferase activity	GO:0030407
glycine formimidoyltransferase activity	GO:0030408
glutamate formimidoyltransferase activity	GO:0030409
nicotianamine synthase activity	GO:0030410
scytalone dehydratase activity	GO:0030411
formimidoyltetrahydrofolate cyclodeaminase activity	GO:0030412
competence pheromone activity	GO:0030413
protease inhibitor activity	GO:0030414
carboxypeptidase A inhibitor activity	GO:0030415
kynureninase activity	GO:0030429
inositol-4\,5-bisphosphate 5-phosphatase activity	GO:0030487
hemoglobin binding	GO:0030492
inorganic diphosphate transporter activity	GO:0030504
ankyrin binding	GO:0030506
spectrin binding	GO:0030507
thiol-disulfide exchange intermediate activity	GO:0030508
snoRNA binding	GO:0030515
snoRNP binding	GO:0030519
dihydrolipoamide S-acyltransferase activity	GO:0030523
structural constituent of chromatin	GO:0030527
transcription regulator activity	GO:0030528
triplet codon-amino acid adaptor activity	GO:0030533
Hsp70 protein binding	GO:0030544
receptor regulator activity	GO:0030545
receptor activator activity	GO:0030546
receptor inhibitor activity	GO:0030547
acetylcholine receptor regulator activity	GO:0030548
acetylcholine receptor activator activity	GO:0030549
acetylcholine receptor inhibitor activity	GO:0030550
cyclic nucleotide binding	GO:0030551
3'\,5'-cAMP binding	GO:0030552
3'\,5'-cGMP binding	GO:0030553
adenyl nucleotide binding	GO:0030554
RNA modification guide activity	GO:0030555
rRNA modification guide activity	GO:0030556
tRNA modification guide activity	GO:0030557
RNA pseudouridylation guide activity	GO:0030558
rRNA pseudouridylation guide activity	GO:0030559
tRNA pseudouridylation guide activity	GO:0030560
RNA 2'-O-ribose methylation guide activity	GO:0030561
rRNA 2'-O-ribose methylation guide activity	GO:0030562
snRNA 2'-O-ribose methylation guide activity	GO:0030563
tRNA 2'-O-ribose methylation guide activity	GO:0030564
snRNA pseudouridylation guide activity	GO:0030565
snRNA modification guide activity	GO:0030566
prothrombin activator activity	GO:0030567
plasmin inhibitor activity	GO:0030568
chymotrypsin inhibitor activity	GO:0030569
pectate lyase activity	GO:0030570
phosphatidyltransferase activity	GO:0030572
quinone cofactor methyltransferase activity	GO:0030580
phosphoenolpyruvate carboxykinase (diphosphate) activity	GO:0030585
[methionine synthase]-cobalamin methyltransferase (cob(II)alamin reducing) activity	GO:0030586
NAD DNA ADP-ribosyltransferase activity	GO:0030591
neurotransmitter receptor activity	GO:0030594
alpha-L-rhamnosidase activity	GO:0030596
RNA glycosylase activity	GO:0030597
rRNA N-glycosidase activity	GO:0030598
pectinesterase activity	GO:0030599
feruloyl esterase activity	GO:0030600
aminopeptidase B activity	GO:0030601
chymosin activity	GO:0030602
oxaloacetase activity	GO:0030603
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	GO:0030604
arsenate reductase activity	GO:0030611
arsenate reductase (thioredoxin) activity	GO:0030612
oxidoreductase activity\, acting on phosphorus or arsenic in donors	GO:0030613
oxidoreductase activity\, acting on phosphorus or arsenic in donors\, with disulfide as acceptor	GO:0030614
TGFbeta receptor\, common-partner cytoplasmic mediator activity	GO:0030616
TGFbeta receptor\, inhibitory cytoplasmic mediator activity	GO:0030617
TGFbeta receptor\, pathway-specific cytoplasmic mediator activity	GO:0030618
U1 snRNA binding	GO:0030619
U2 snRNA binding	GO:0030620
U4 snRNA binding	GO:0030621
U4atac snRNA binding	GO:0030622
U5 snRNA binding	GO:0030623
U6atac snRNA binding	GO:0030624
U11 snRNA binding	GO:0030625
U12 snRNA binding	GO:0030626
pre-mRNA 5' splice site binding	GO:0030627
pre-mRNA 3' splice site binding	GO:0030628
U6 snRNA 3' end binding	GO:0030629
protein binding\, bridging	GO:0030674
Rac GTPase activator activity	GO:0030675
Rac guanyl-nucleotide exchange factor activity	GO:0030676
caspase activity	GO:0030693
GTPase regulator activity	GO:0030695
tRNA (m5U54) methyltransferase activity	GO:0030696
S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	GO:0030697
5\,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity	GO:0030698
glycine reductase activity	GO:0030699
NAD-dinitrogen-reductase ADP-D-ribosyltransferase activity	GO:0030701
acetoacetate-CoA ligase activity	GO:0030729
guanidinoacetate N-methyltransferase activity	GO:0030731
methionine S-methyltransferase activity	GO:0030732
fatty-acid O-methyltransferase activity	GO:0030733
polysaccharide O-methyltransferase activity	GO:0030734
carnosine N-methyltransferase activity	GO:0030735
phenol O-methyltransferase activity	GO:0030736
iodophenol O-methyltransferase activity	GO:0030737
tyramine N-methyltransferase activity	GO:0030738
O-demethylpuromycin O-methyltransferase activity	GO:0030739
inositol 3-methyltransferase activity	GO:0030740
inositol 1-methyltransferase activity	GO:0030741
GTP-dependent protein binding	GO:0030742
rRNA (adenosine-2'-O-)-methyltransferase activity	GO:0030743
luteolin O-methyltransferase activity	GO:0030744
dimethylhistidine N-methyltransferase activity	GO:0030745
isoflavone 4'-O-methyltransferase activity	GO:0030746
indolepyruvate C-methyltransferase activity	GO:0030747
amine N-methyltransferase activity	GO:0030748
loganate O-methyltransferase activity	GO:0030749
putrescine N-methyltransferase activity	GO:0030750
licodione 2'-O-methyltransferase activity	GO:0030751
5-hydroxyfuranocoumarin 5-O-methyltransferase activity	GO:0030752
8-hydroxyfuranocoumarin 8-O-methyltransferase activity	GO:0030753
apigenin 4'-O-methyltransferase activity	GO:0030754
quercetin 3-O-methyltransferase activity	GO:0030755
isoorientin 3'-O-methyltransferase activity	GO:0030756
3-methylquercitin 7-O-methyltransferase activity	GO:0030757
3\,7-dimethylquercitin 4'-O-methyltransferase activity	GO:0030758
methylquercetagetin 6-O-methyltransferase activity	GO:0030759
pyridine N-methyltransferase activity	GO:0030760
8-hydroxyquercitin 8-O-methyltransferase activity	GO:0030761
tetrahydrocolumbamine 2-O-methyltransferase activity	GO:0030762
isobutyraldoxime O-methyltransferase activity	GO:0030763
bergaptol O-methyltransferase activity	GO:0030764
xanthotoxol O-methyltransferase activity	GO:0030765
11-O-demethyl-17-O-deacetylvindoline O-methyltransferase activity	GO:0030766
3-hydroxyanthranilate 4-C-methyltransferase activity	GO:0030767
16-methoxy-2\,3-dihydro-3-hydroxytabersonine N-methyltransferase activity	GO:0030768
macrocin O-methyltransferase activity	GO:0030769
demethylmacrocin O-methyltransferase activity	GO:0030770
N-benzoyl-4-hydroxyanthranilate 4-O-methyltransferase activity	GO:0030771
tryptophan 2-C-methyltransferase activity	GO:0030772
6-hydroxymellein O-methyltransferase activity	GO:0030773
anthranilate N-methyltransferase activity	GO:0030774
glucuronoxylan 4-O-methyltransferase activity	GO:0030775
(RS)-1-benzyl-1\,2\,3\,4-tetrahydroisoquinoline N-methyltransferase activity	GO:0030776
(S)-scoulerine 9-O-methyltransferase activity	GO:0030777
columbamine O-methyltransferase activity	GO:0030778
10-hydroxydihydrosanguinarine 10-O-methyltransferase activity	GO:0030779
12-hydroxydihydrochelirubine 12-O-methyltransferase activity	GO:0030780
6-O-methylnorlaudanosoline 5'-O-methyltransferase activity	GO:0030781
(S)-tetrahydroprotoberberine N-methyltransferase activity	GO:0030782
[cytochrome c]-methionine S-methyltransferase activity	GO:0030783
3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase activity	GO:0030784
[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity	GO:0030785
(RS)-norcoclaurine 6-O-methyltransferase activity	GO:0030786
inositol 4-methyltransferase activity	GO:0030787
precorrin-2 C20-methyltransferase activity	GO:0030788
precorrin-3B C17-methyltransferase activity	GO:0030789
chlorophenol O-methyltransferase activity	GO:0030790
arsenite methyltransferase activity	GO:0030791
methylarsonite methyltransferase activity	GO:0030792
3'-demethylstaurosporine O-methyltransferase activity	GO:0030793
(S)-coclaurine-N-methyltransferase activity	GO:0030794
jasmonate O-methyltransferase activity	GO:0030795
cycloartenol 24-C-methyltransferase activity	GO:0030796
24-methylenesterol C-methyltransferase activity	GO:0030797
trans-aconitate 2-methyltransferase activity	GO:0030798
interleukin-18 binding	GO:0042007
interleukin-18 receptor activity	GO:0042008
interleukin-15 binding	GO:0042009
interleukin-15 receptor activity	GO:0042010
interleukin-16 binding	GO:0042011
interleukin-16 receptor activity	GO:0042012
interleukin-19 binding	GO:0042013
interleukin-19 receptor activity	GO:0042014
interleukin-20 binding	GO:0042015
interleukin-20 receptor activity	GO:0042016
interleukin-22 binding	GO:0042017
interleukin-22 receptor activity	GO:0042018
interleukin-23 binding	GO:0042019
interleukin-23 receptor activity	GO:0042020
granulocyte macrophage colony-stimulating factor complex binding	GO:0042021
cyclophilin-type peptidy-prolyl cis-trans isomerase activity	GO:0042027
juglone-sensitive peptidyl-prolyl cis-trans isomerase activity	GO:0042028
fibrolase activity	GO:0042029
ATPase inhibitor activity	GO:0042030
angiotensin-converting enzyme inhibitor activity	GO:0042031
neurexin binding	GO:0042043
histone methyltransferase activity	GO:0042054
chemoattractant activity	GO:0042056
transforming growth factor-beta receptor anchoring activity	GO:0042057
cell adhesion receptor regulator activity	GO:0042064
leucokinin receptor activity	GO:0042071
cell adhesion receptor inhibitor activity	GO:0042072
5\,10-methylenetetrahydrofolate-dependent methyltransferase activity	GO:0042083
5-methyltetrahydrofolate methyltransferase activity	GO:0042084
5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity	GO:0042085
5-methyl-5\,6\,7\,8-tetrahydromethanopterin-dependent methyltransferase activity	GO:0042086
glucanosyltransferase activity	GO:0042123
1\,3-beta-glucanosyltransferase activity	GO:0042124
thiamin phosphate phosphatase activity	GO:0042131
fructose-bisphosphatase activity	GO:0042132
rRNA primary transcript binding	GO:0042134
RPTP-like protein binding	GO:0042153
zinc-mediated transcriptional activator activity	GO:0042156
telomeric DNA binding	GO:0042162
interleukin-12 beta subunit binding	GO:0042163
interleukin-12 alpha subunit binding	GO:0042164
neurotransmitter binding	GO:0042165
acetylcholine binding	GO:0042166
SH2-domain binding	GO:0042169
lysophosphatidic acid acyltransferase activity	GO:0042171
cobyrinic acid a\,c-diamide synthase activity	GO:0042242
neuropeptide F receptor activity	GO:0042263
peptide binding	GO:0042277
nitrite reductase (cytochrome\, ammonia-forming) activity	GO:0042279
cell surface antigen activity\, host-interacting	GO:0042280
dolichyl pyrophosphate Man9GlcNAc2 alpha-1\,3-glucosyltransferase activity	GO:0042281
hydroxymethylglutaryl-CoA reductase activity	GO:0042282
dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1\,3-glucosyltransferase activity	GO:0042283
sphingolipid delta-4 desaturase activity	GO:0042284
xylosyltransferase activity	GO:0042285
